MatBrO,ImeOpsCir,ImeOpsLat,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12
"80187",ИРИГ,IRIG,5.21,5.99,13.10,22.08,22.20,9.46,5.13,8.58,8.24,0.00,0.00,0.00,0.00
"80446",ТЕМЕРИН,TEMERIN,1.18,1.26,2.65,8.38,18.40,26.85,13.75,15.71,11.81,0.00,0.00,0.00,0.00
"70246",СТАРИ ГРАД,STARI GRAD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.79,10.09,41.38,44.17,1.56
"71013",РАЧА,RAČA,12.25,24.10,18.38,2.89,2.05,0.47,6.81,8.21,24.85,0.00,0.00,0.00,0.00
"71269",ШАБАЦ,ŠABAC,2.82,6.10,18.41,18.02,9.28,5.50,3.19,9.22,16.74,5.74,4.97,0.00,0.00
"80195",КАЊИЖА,KANJIŽA,0.61,3.48,12.35,21.51,13.62,10.72,7.17,9.58,17.17,3.43,0.37,0.00,0.00
"70220",САВСКИ ВЕНАЦ,SAVSKI VENAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20,31.25,46.08,15.94,0.53
"70475",ГОЛУБАЦ,GOLUBAC,10.41,28.34,32.56,13.77,4.26,0.09,1.57,3.30,5.70,0.00,0.00,0.00,0.00
"80454",ТИТЕЛ,TITEL,1.41,1.68,6.65,25.77,24.40,12.78,15.58,9.17,2.57,0.00,0.00,0.00,0.00
"70734",ЛОЗНИЦА,LOZNICA,4.72,7.84,15.93,17.48,12.28,6.35,5.74,8.78,14.88,4.09,1.92,0.00,0.00
"70483",ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,10.47,9.15,4.25,5.28,5.09,6.35,1.72,5.84,23.53,15.82,12.51,0.00,0.00
"71242",ЧАЧАК,ČAČAK,3.61,1.03,2.65,4.79,3.25,6.39,2.63,7.69,33.75,25.28,8.94,0.00,0.00
"70742",ЛУЧАНИ,LUČANI,8.53,5.88,1.61,16.79,10.91,5.97,7.36,7.56,27.75,7.66,0.00,0.00,0.00
"70998",ПРОКУПЉЕ,PROKUPLJE,14.32,20.82,8.98,2.83,1.55,1.31,2.71,3.65,18.39,23.33,2.12,0.00,0.00
"80179",ИНЂИЈА,INĐIJA,13.13,8.58,10.78,18.25,11.35,8.20,5.48,7.30,11.36,4.21,1.36,0.00,0.00
"70203",ПАЛИЛУЛА (БЕОГРАД),PALILULA (БЕОГРАД),1.50,0.11,1.24,3.49,5.75,5.72,6.51,12.61,24.35,26.85,10.60,1.28,0.00
"70459",ВРЊАЧКА БАЊА,VRNJAČKA BANJA,0.59,1.22,4.21,18.03,12.19,9.42,5.32,12.62,26.14,10.27,0.00,0.00,0.00
"80438",СУБОТИЦА,SUBOTICA,0.34,0.76,2.70,7.03,10.87,12.10,11.79,16.37,22.88,11.61,3.53,0.00,0.00
"70718",ЛЕБАНЕ,LEBANE,0.59,3.08,21.66,37.01,6.98,6.62,2.40,6.60,15.05,0.00,0.00,0.00,0.00
"70971",ПРИБОЈ,PRIBOJ,3.73,6.15,13.22,15.00,16.36,10.45,3.43,14.78,16.86,0.00,0.00,0.00,0.00
"80411",СРЕМСКИ КАРЛОВЦИ,SREMSKI KARLOVCI,2.32,0.68,11.53,19.07,12.68,3.62,2.79,11.74,31.82,3.74,0.00,0.00,0.00
"70211",РАКОВИЦА,RAKOVICA,0.01,0.00,0.02,0.04,0.22,0.49,0.49,10.44,40.11,30.26,17.93,0.00,0.00
"70467",ГАЏИН ХАН,GADŽIN HAN,5.70,44.25,32.21,6.73,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"71226",ЦРНА ТРАВА,CRNA TRAVA,29.27,36.59,0.00,34.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"80152",ЗРЕЊАНИН,ZRENJANIN,1.46,1.31,5.08,13.68,16.53,15.60,9.72,14.93,16.55,3.56,1.59,0.00,0.00
"70980",ПРИЈЕПОЉЕ,PRIJEPOLJE,5.61,2.87,5.04,14.90,7.78,15.24,6.81,19.82,16.62,5.29,0.00,0.00,0.00
"70726",ЛЕСКОВАЦ,LESKOVAC,1.84,3.72,16.61,22.48,9.54,4.47,4.44,5.05,11.17,12.68,7.99,0.00,0.00
"80420",СТАРА ПАЗОВА,STARA PAZOVA,0.81,0.45,4.26,13.60,6.85,5.60,6.69,23.09,34.10,4.56,0.00,0.00,0.00
"70190",ОБРЕНОВАЦ,OBRENOVAC,3.34,0.63,13.19,20.66,16.14,12.24,3.74,6.64,12.47,7.99,2.95,0.00,0.00
"70700",ЛАЈКОВАЦ,LAJKOVAC,4.32,1.57,19.19,18.87,8.13,6.20,3.35,11.45,14.53,5.54,6.85,0.00,0.00
"71234",ЧАЈЕТИНА,ČAJETINA,10.91,6.03,2.88,3.73,3.00,4.76,5.16,12.50,36.74,14.28,0.00,0.00,0.00
"70955",ПОЖЕГА,POŽEGA,6.10,7.48,4.53,5.88,1.31,3.64,2.44,14.98,25.57,18.22,9.84,0.00,0.00
"70696",КУЧЕВО,KUČEVO,12.89,21.27,25.81,16.13,4.81,4.10,1.89,5.51,7.60,0.00,0.00,0.00,0.00
"80136",ЖАБАЉ,ŽABALJ,1.73,0.42,2.02,12.75,16.25,23.51,16.85,23.67,2.80,0.00,0.00,0.00,0.00
"70963",ПРЕШЕВО,PREŠEVO,1.04,12.73,15.59,24.49,15.32,12.24,3.11,14.12,1.19,0.18,0.00,0.00,0.00
"80403",СРЕМСКА МИТРОВИЦА,SREMSKA MITROVICA,7.05,5.42,14.99,21.97,11.12,6.12,3.14,9.69,14.81,4.44,1.26,0.00,0.00
"71218",УБ,UB,11.66,5.44,22.31,14.19,10.01,5.62,1.41,6.65,7.64,8.59,6.48,0.00,0.00
"70173",МЛАДЕНОВАЦ,MLADENOVAC,1.71,4.11,17.14,30.09,12.12,6.70,4.36,8.16,7.85,4.09,3.67,0.00,0.00
"80144",ЖИТИШТЕ,ŽITIŠTE,3.45,4.97,7.97,29.10,19.40,19.00,7.39,6.79,1.93,0.00,0.00,0.00,0.00
"70939",ПИРОТ,PIROT,0.52,3.10,6.69,6.22,6.29,3.14,1.44,6.25,17.70,28.75,19.91,0.00,0.00
"71196",ЋИЋЕВАЦ,ĆIĆEVAC,3.64,19.62,15.40,19.95,10.09,15.65,9.20,1.73,4.71,0.00,0.00,0.00,0.00
"70424",ВЛАСОТИНЦЕ,VLASOTINCE,0.18,2.87,13.64,20.18,14.45,1.38,5.05,16.50,25.75,0.00,0.00,0.00,0.00
"80381",СОМБОР,SOMBOR,1.47,4.21,14.63,26.85,18.57,7.25,5.83,4.78,11.92,4.48,0.00,0.00,0.00
"70181",НОВИ БЕОГРАД,NOVI BEOGRAD,0.00,0.00,0.00,0.06,0.07,0.06,0.12,0.07,4.94,10.42,47.14,37.12,0.00
"70947",ПОЖАРЕВАЦ,POŽAREVAC,1.84,0.54,6.55,23.37,14.43,9.10,6.21,10.03,13.37,10.79,3.78,0.00,0.00
"70432",ВРАЊЕ,VRANJE,0.30,0.49,3.47,5.15,7.40,3.25,1.79,4.39,24.40,24.20,25.17,0.00,0.00
"70688",КУРШУМЛИЈА,KURŠUMLIJA,6.28,12.89,2.86,5.39,9.82,11.84,10.65,12.67,27.60,0.00,0.00,0.00,0.00
"71200",ЋУПРИЈА,ĆUPRIJA,0.69,0.93,7.56,28.62,16.76,1.95,0.49,7.10,21.37,14.52,0.00,0.00,0.00
"80390",СРБОБРАН,SRBOBRAN,0.61,1.97,1.14,4.34,4.82,9.32,10.32,32.32,31.14,4.02,0.00,0.00,0.00
"80128",ВРШАЦ,VRŠAC,2.59,4.31,12.89,19.81,16.16,7.40,3.96,3.00,17.00,7.80,5.06,0.00,0.00
"70157",ЗЕМУН,ZEMUN,0.13,0.00,0.14,1.77,1.94,2.12,2.05,8.56,29.40,37.24,16.16,0.49,0.00
"70670",КРУШЕВАЦ,KRUŠEVAC,0.57,2.95,16.05,22.97,5.78,3.71,3.68,6.43,17.18,10.27,10.43,0.00,0.00
"70408",ВЛАДИМИРЦИ,VLADIMIRCI,24.62,36.59,16.01,12.38,2.43,2.98,1.68,3.32,0.00,0.00,0.00,0.00,0.00
"80110",БЕЧЕЈ,BEČEJ,3.68,3.42,8.19,15.44,10.21,9.64,18.67,22.37,8.39,0.00,0.00,0.00,0.00
"70165",ЛАЗАРЕВАЦ,LAZAREVAC,2.30,0.31,10.22,16.80,13.21,7.85,7.60,15.84,16.21,7.29,2.36,0.00,0.00
"80365",СЕНТА,SENTA,2.30,12.17,15.13,11.08,4.88,8.82,12.35,25.58,7.68,0.00,0.00,0.00,0.00
"71188",ТУТИН,TUTIN,0.44,13.50,5.45,4.97,5.58,10.78,0.70,9.15,29.75,19.69,0.00,0.00,0.00
"70416",ВЛАДИЧИН ХАН,VLADIČIN HAN,7.90,3.94,14.48,14.58,12.14,7.07,2.46,5.58,9.65,22.20,0.00,0.00,0.00
"90026",ВУЧИТРН,VUČITRN,0.84,7.31,15.64,22.67,10.28,8.88,15.51,14.57,0.79,3.51,0.00,0.00,0.00
"90093",ЗУБИН ПОТОК,ZUBIN POTOK,13.27,4.25,5.21,14.00,3.15,13.20,4.11,23.17,19.65,0.00,0.00,0.00,0.00
"90352",ЗВЕЧАН,ZVEČAN,2.00,2.27,1.30,26.20,4.39,8.39,1.03,13.48,40.93,0.00,0.00,0.00,0.00
"90336",ГОРА,GORA,3.31,25.44,54.65,3.19,13.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"90328",ШТРПЦЕ,ŠTRPCE,1.19,8.36,12.91,33.85,10.81,16.38,7.62,8.87,0.00,0.00,0.00,0.00,0.00
"90115",КАЧАНИК,KAČANIK,8.85,19.88,13.62,14.08,12.54,10.37,0.98,5.18,14.50,0.00,0.00,0.00,0.00
"90255",ПРИЗРЕН,PRIZREN,0.79,5.30,19.67,15.21,5.97,3.75,3.59,8.64,18.70,18.38,0.00,0.00,0.00
"90018",ВИТИНА,VITINA,1.45,10.59,46.43,17.42,7.09,1.43,7.19,4.13,1.61,2.66,0.00,0.00,0.00
"90301",УРОШЕВАЦ,UROŠEVAC,0.44,5.40,15.03,13.63,7.80,6.48,4.88,16.76,22.27,7.31,0.00,0.00,0.00
"90310",ШТИМЉЕ,ŠTIMLJE,2.97,21.12,47.89,9.88,9.54,5.55,3.05,0.00,0.00,0.00,0.00,0.00,0.00
"90280",СУВА РЕКА,SUVA REKA,1.01,16.41,33.33,21.36,6.03,5.96,0.89,11.19,3.83,0.00,0.00,0.00,0.00
"90212",ОРАХОВАЦ,ORAHOVAC,1.31,13.39,28.46,17.43,10.09,7.86,5.87,10.67,4.26,0.66,0.00,0.00,0.00
"90085",ЂАКОВИЦА,ĐAKOVICA,1.62,6.74,9.27,9.13,11.34,4.74,4.39,9.66,29.78,13.33,0.00,0.00,0.00
