MatBrO,ImeOpsCir,ImeOpsLat,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,Area,LEN_All,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All
"70882",ОСЕЧИНА,OSEČINA,0.0000,0.0000,19.5325,44.4730,23.7651,318.8005,87.7706,0.00,0.00,0.06,0.14,0.07,0.28
"71137",СУРДУЛИЦА,SURDULICA,0.0000,0.0000,46.4510,29.6958,32.9534,628.4151,109.1002,0.00,0.00,0.07,0.05,0.05,0.17
"80063",БАЧКА ПАЛАНКА,BAČKA PALANKA,0.0000,0.0000,39.6335,70.7676,21.2110,590.4854,131.6121,0.00,0.00,0.07,0.12,0.04,0.22
"70343",БРУС,BRUS,0.0000,0.0000,9.8056,100.3002,0.5026,605.7593,110.6084,0.00,0.00,0.02,0.17,0.00,0.18
"80322",ПЕЋИНЦИ,PEĆINCI,36.8393,0.0000,0.0000,31.5142,49.2609,488.5091,117.6144,0.08,0.00,0.00,0.06,0.10,0.24
"70599",КНИЋ,KNIĆ,0.0000,0.0000,32.4087,6.6728,22.9193,412.8364,62.0008,0.00,0.00,0.08,0.02,0.06,0.15
"70602",КЊАЖЕВАЦ,KNJAŽEVAC,0.0000,0.0000,30.0299,113.7475,130.8888,1202.2728,274.6662,0.00,0.00,0.02,0.09,0.11,0.23
"80039",АЛИБУНАР,ALIBUNAR,0.0000,0.0000,24.4596,17.6507,36.2836,597.8902,78.3939,0.00,0.00,0.04,0.03,0.06,0.13
"70351",БУЈАНОВАЦ,BUJANOVAC,42.6299,0.0000,15.0575,50.1898,44.2606,460.8486,152.1378,0.09,0.00,0.03,0.11,0.10,0.33
"70076",БАТОЧИНА,BATOČINA,9.4770,25.2573,0.0000,5.2840,13.5383,135.6267,53.5566,0.07,0.19,0.00,0.04,0.10,0.39
"70866",НОВА ВАРОШ,NOVA VAROŠ,0.0000,0.0000,53.9095,46.5290,13.0983,582.1480,113.5368,0.00,0.00,0.09,0.08,0.02,0.20
"80047",АПАТИН,APATIN,0.0000,0.0000,0.0000,29.6372,9.3715,380.0905,39.0087,0.00,0.00,0.00,0.08,0.02,0.10
"71099",СМЕДЕРЕВО,SMEDEREVO,61.7400,10.1120,17.9457,85.8178,38.0477,481.3820,213.6632,0.13,0.02,0.04,0.18,0.08,0.44
"70327",БОР,BOR,0.0000,0.0000,38.1203,62.5552,114.4551,856.5844,215.1306,0.00,0.00,0.04,0.07,0.13,0.25
"71102",СМЕДЕРЕВСКА ПАЛАНКА,SMEDEREVSKA PALANKA,0.0000,0.0000,0.0000,49.3295,35.5420,421.5892,84.8715,0.00,0.00,0.00,0.12,0.08,0.20
"80306",ОЏАЦИ,ODŽACI,0.0000,0.0000,32.4648,32.8841,36.3295,411.0240,101.6784,0.00,0.00,0.08,0.08,0.09,0.25
"70840",НЕГОТИН,NEGOTIN,0.0000,0.0000,95.2819,57.9235,68.5184,1090.2940,221.7238,0.00,0.00,0.09,0.05,0.06,0.20
"71358",ВРАЊСКА БАЊА,VRANJSKA BANJA,9.7891,0.0000,0.0000,3.3483,47.9028,258.4789,61.0402,0.04,0.00,0.00,0.01,0.19,0.24
"70084",БЕЛА ПАЛАНКА,BELA PALANKA,60.3343,0.0000,0.0000,72.0353,41.9929,516.9386,174.3625,0.12,0.00,0.00,0.14,0.08,0.34
"80284",НОВИ САД,NOVI SAD,89.5905,26.7210,62.6065,141.8251,72.8169,609.9237,393.5600,0.15,0.04,0.10,0.23,0.12,0.65
"70335",БОСИЛЕГРАД,BOSILEGRAD,0.0000,0.0000,0.0000,55.1020,48.7505,571.1376,103.8525,0.00,0.00,0.00,0.10,0.09,0.18
"80292",ОПОВО,OPOVO,0.0000,0.0000,0.0000,17.2402,0.0000,203.5221,17.2402,0.00,0.00,0.00,0.08,0.00,0.08
"70572",КЛАДОВО,KLADOVO,0.0000,0.0000,70.1241,32.7476,10.1089,627.1066,112.9806,0.00,0.00,0.11,0.05,0.02,0.18
"71340",КОСТОЛАЦ,KOSTOLAC,0.0000,0.0000,0.0000,3.7176,1.1639,101.2150,4.8815,0.00,0.00,0.00,0.04,0.01,0.05
"80012",АДА,ADA,0.0000,0.0000,0.0000,16.1267,4.4115,227.0332,20.5382,0.00,0.00,0.00,0.07,0.02,0.09
"70068",БАЈИНА БАШТА,BAJINA BAŠTA,0.0000,0.0000,43.5644,91.8838,54.9089,673.2142,190.3571,0.00,0.00,0.06,0.14,0.08,0.28
"70823",МЕРОШИНА,MEROŠINA,10.5919,0.0000,15.4203,2.4662,27.7320,193.3401,56.2104,0.05,0.00,0.08,0.01,0.14,0.29
"80268",НОВИ БЕЧЕЈ,NOVI BEČEJ,0.0000,0.0000,35.7733,31.9695,22.9862,608.6197,90.7290,0.00,0.00,0.06,0.05,0.04,0.15
"70319",БОЉЕВАЦ,BOLJEVAC,0.0000,0.0000,42.5048,32.8369,90.6521,827.7179,165.9938,0.00,0.00,0.05,0.04,0.11,0.20
"80519",НОВИ САД,NOVI SAD,0.0000,7.4321,23.0348,26.1491,17.3361,89.2689,73.9521,0.00,0.08,0.26,0.29,0.19,0.83
"80276",НОВИ КНЕЖЕВАЦ,NOVI KNEŽEVAC,0.0000,0.0000,5.5156,35.1452,7.4489,305.3624,48.1097,0.00,0.00,0.02,0.12,0.02,0.16
"70831",МИОНИЦА,MIONICA,0.0000,0.0000,0.0000,60.0413,27.5665,329.2947,87.6078,0.00,0.00,0.00,0.18,0.08,0.27
"70556",ЗАЈЕЧАР,ZAJEČAR,0.0000,0.0000,102.1976,84.8634,80.6912,1068.6917,267.7522,0.00,0.00,0.10,0.08,0.08,0.25
"71323",ПАЛИЛУЛА (НИШ),PALILULA (NIŠ),12.5311,0.0000,11.7460,17.3269,36.4860,117.2165,78.0900,0.11,0.00,0.10,0.15,0.31,0.67
"70041",АРИЉЕ,ARILJE,0.0000,0.0000,17.8408,43.3750,1.7975,349.1842,63.0133,0.00,0.00,0.05,0.12,0.01,0.18
"70297",БОЈНИК,BOJNIK,0.0000,0.0000,0.0000,54.5990,25.7273,263.8662,80.3263,0.00,0.00,0.00,0.21,0.10,0.30
"70807",МАЛО ЦРНИЋЕ,MALO CRNIĆE,0.0000,0.3350,17.9285,28.8265,25.6688,269.3548,72.7588,0.00,0.00,0.07,0.11,0.10,0.27
