MatBrO,ImeOpsCir,ImeOpsLat,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,Area,LEN_All,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All
"80128",ВРШАЦ,VRŠAC,0.0000,0.0000,63.8716,15.9016,27.6526,800.1080,107.4258,0.00,0.00,0.08,0.02,0.03,0.13
"70157",ЗЕМУН,ZEMUN,48.2427,0.0000,24.1858,46.1874,36.3166,149.7636,154.9325,0.32,0.00,0.16,0.31,0.24,1.03
"70670",КРУШЕВАЦ,KRUŠEVAC,0.0000,0.0000,66.7875,95.8467,79.1003,854.0333,241.7345,0.00,0.00,0.08,0.11,0.09,0.28
"70408",ВЛАДИМИРЦИ,VLADIMIRCI,0.0000,0.0000,31.5913,17.8409,33.4176,337.9441,82.8498,0.00,0.00,0.09,0.05,0.10,0.25
"80110",БЕЧЕЈ,BEČEJ,0.0000,0.0000,23.0427,56.9345,4.4370,486.5045,84.4142,0.00,0.00,0.05,0.12,0.01,0.17
"70165",ЛАЗАРЕВАЦ,LAZAREVAC,3.5131,0.0000,60.6911,25.2824,88.1003,383.5891,177.5869,0.01,0.00,0.16,0.07,0.23,0.46
"80365",СЕНТА,SENTA,0.0000,0.0000,0.0000,37.5583,2.2814,294.2355,39.8397,0.00,0.00,0.00,0.13,0.01,0.14
"71188",ТУТИН,TUTIN,0.0000,0.0000,29.6352,81.4794,1.5108,741.5746,112.6254,0.00,0.00,0.04,0.11,0.00,0.15
"70416",ВЛАДИЧИН ХАН,VLADIČIN HAN,49.0136,0.0000,6.9830,27.5126,62.7391,365.6251,146.2483,0.13,0.00,0.02,0.08,0.17,0.40
"90026",ВУЧИТРН,VUČITRN,0.0000,9.6241,13.9989,48.2191,39.2842,346.7869,111.1263,0.00,0.03,0.04,0.14,0.11,0.32
"90093",ЗУБИН ПОТОК,ZUBIN POTOK,0.0000,0.0000,25.9542,24.0463,14.4450,334.0572,64.4455,0.00,0.00,0.08,0.07,0.04,0.19
"90352",ЗВЕЧАН,ZVEČAN,0.0000,0.0000,11.5289,12.5482,14.3812,116.4546,38.4583,0.00,0.00,0.10,0.11,0.12,0.33
"90336",ГОРА,GORA,0.0000,0.0000,0.0000,33.2489,24.0408,309.7986,57.2897,0.00,0.00,0.00,0.11,0.08,0.18
"90328",ШТРПЦЕ,ŠTRPCE,0.0000,0.0000,0.0000,36.8812,6.9302,232.6700,43.8114,0.00,0.00,0.00,0.16,0.03,0.19
"90115",КАЧАНИК,KAČANIK,46.0238,0.0514,23.7026,32.3803,70.6481,304.8601,172.8062,0.15,0.00,0.08,0.11,0.23,0.57
"90255",ПРИЗРЕН,PRIZREN,58.3645,0.5215,40.1410,117.6918,92.0571,760.0391,308.7759,0.08,0.00,0.05,0.15,0.12,0.41
"90018",ВИТИНА,VITINA,0.0000,0.0000,10.3893,25.7298,40.8271,290.5035,76.9462,0.00,0.00,0.04,0.09,0.14,0.26
"90301",УРОШЕВАЦ,UROŠEVAC,35.9704,0.0000,42.8382,19.4490,77.1327,350.2117,175.3903,0.10,0.00,0.12,0.06,0.22,0.50
"90310",ШТИМЉЕ,ŠTIMLJE,0.0000,0.0000,21.2542,18.2977,48.5732,136.5109,88.1251,0.00,0.00,0.16,0.13,0.36,0.65
"90280",СУВА РЕКА,SUVA REKA,62.6243,0.0000,27.8991,41.9261,123.2811,431.0393,255.7306,0.15,0.00,0.06,0.10,0.29,0.59
"90212",ОРАХОВАЦ,ORAHOVAC,0.0000,0.0000,5.8063,84.5438,84.0922,400.5607,174.4423,0.00,0.00,0.01,0.21,0.21,0.44
"90085",ЂАКОВИЦА,ĐAKOVICA,0.0000,0.0000,42.3328,60.7096,114.3893,587.6481,217.4317,0.00,0.00,0.07,0.10,0.19,0.37
"90042",ГЊИЛАНЕ,GNJILANE,0.0000,0.0000,61.3999,48.6060,148.6761,517.8778,258.6820,0.00,0.00,0.12,0.09,0.29,0.50
"90166",ЛИПЉАН,LIPLJAN,36.0195,0.5897,26.5667,52.9859,121.4150,405.9620,237.5768,0.09,0.00,0.07,0.13,0.30,0.59
"90182",НОВО БРДО,NOVO BRDO,0.0000,0.0000,3.2259,20.1063,6.1844,80.7823,29.5166,0.00,0.00,0.04,0.25,0.08,0.37
"90069",ДЕЧАНИ,DEČANI,0.0000,0.0000,0.0000,55.5788,54.5006,370.9620,110.0794,0.00,0.00,0.00,0.15,0.15,0.30
"90131",КОСОВО ПОЉЕ,KOSOVO POLJE,30.1426,33.3982,0.0000,11.0973,37.2147,99.4674,111.8528,0.30,0.34,0.00,0.11,0.37,1.12
"90123",КЛИНА,KLINA,1.5024,20.9389,30.2480,55.7268,90.3605,401.8421,198.7766,0.00,0.05,0.08,0.14,0.22,0.49
"90034",ГЛОГОВАЦ,GLOGOVAC,10.2180,39.5373,0.0000,27.4785,73.6638,289.5846,150.8976,0.04,0.14,0.00,0.09,0.25,0.52
"90140",КОСОВСКА КАМЕНИЦА,KOSOVSKA KAMENICA,0.0000,0.0000,9.9586,108.0554,45.1161,520.6524,163.1301,0.00,0.00,0.02,0.21,0.09,0.31
"90204",ОБИЛИЋ,OBILIĆ,14.2485,17.6069,0.0000,25.5540,25.0489,106.9142,82.4583,0.13,0.16,0.00,0.24,0.23,0.77
"90263",ПРИШТИНА-ГРАД,PRIŠTINA-GRAD,15.2492,38.6360,78.6371,6.0425,161.0398,564.6736,299.6046,0.03,0.07,0.14,0.01,0.29,0.53
"90239",ПЕЋ,PEĆ,0.0000,13.6140,34.4776,63.8976,97.7887,605.2192,209.7779,0.00,0.02,0.06,0.11,0.16,0.35
"90271",СРБИЦА,SRBICA,0.0000,0.0000,0.0000,71.4114,136.3993,375.1763,207.8107,0.00,0.00,0.00,0.19,0.36,0.55
"90298",КОСОВСКА МИТРОВИЦА,KOSOVSKA MITROVICA,0.0000,0.0000,21.2046,52.5935,41.1859,346.0415,114.9840,0.00,0.00,0.06,0.15,0.12,0.33
"90247",ПОДУЈЕВО,PODUJEVO,0.0000,0.0000,24.6152,87.8102,57.9685,622.9013,170.3939,0.00,0.00,0.04,0.14,0.09,0.27
"90158",ЛЕПОСАВИЋ,LEPOSAVIĆ,0.0000,0.0000,38.3419,18.1208,57.2709,538.6966,113.7336,0.00,0.00,0.07,0.03,0.11,0.21
"90107",ИСТОК,ISTOK,0.0000,0.0000,0.0000,86.6987,90.0405,455.7785,176.7392,0.00,0.00,0.00,0.19,0.20,0.39
