MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,P_LA_15,P_LA_15-19,SOL_15,SOL_15-19
"70351","707988",ЛУКАРЦЕ,LUKARCE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,4.77
"71161","742384",ДУМБИЈА,DUMBIJA,ТРГОВИШТЕ,TRGOVIŠTE,0.07,0.00,0.00,8.76
"70335","706779",ДОЊЕ ТЛАМИНО,DONJE TLAMINO,БОСИЛЕГРАД,BOSILEGRAD,13.82,0.00,5.26,26.27
"71161","742392",ЂЕРЕКАРЦЕ,ĐEREKARCE,ТРГОВИШТЕ,TRGOVIŠTE,25.67,13.53,16.33,31.66
"70351","707945",КУШТИЦА,KUŠTICA,БУЈАНОВАЦ,BUJANOVAC,12.66,2.04,1.92,10.86
"70963","733865",РАЈИНЦЕ,RAJINCE,ПРЕШЕВО,PREŠEVO,44.74,31.55,38.25,110.67
"70963","733636",БЕРЧЕВАЦ,BERČEVAC,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,9.34
"70351","707783",ДОЊЕ НОВО СЕЛО,DONJE NOVO SELO,БУЈАНОВАЦ,BUJANOVAC,5.44,0.00,1.48,24.61
"70351","707767",ГРАМАДА,GRAMADA,БУЈАНОВАЦ,BUJANOVAC,22.08,0.24,1.38,6.32
"70351","707961",ЛЕТОВИЦА,LETOVICA,БУЈАНОВАЦ,BUJANOVAC,21.75,17.90,8.87,35.88
"71161","742350",ДОЊА ТРНИЦА,DONJA TRNICA,ТРГОВИШТЕ,TRGOVIŠTE,24.44,5.82,9.82,28.22
"71161","742619",ШАПРАНЦЕ,ŠAPRANCE,ТРГОВИШТЕ,TRGOVIŠTE,9.70,0.96,2.86,16.63
"70351","707929",КОШАРНО,KOŠARNO,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,12.25
"70351","707791",ДРЕЖНИЦА,DREŽNICA,БУЈАНОВАЦ,BUJANOVAC,43.33,0.00,2.39,4.60
"70351","707856",ЈАСТРЕБАЦ,JASTREBAC,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,4.12
"70335","706825",ЈАРЕШНИК,JAREŠNIK,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,15.52
"70351","708216",ТРЕЈАК,TREJAK,БУЈАНОВАЦ,BUJANOVAC,3.93,0.00,0.66,13.53
"71161","742287",ВЛАДОВЦЕ,VLADOVCE,ТРГОВИШТЕ,TRGOVIŠTE,14.93,1.77,1.57,7.75
"70351","708135",РУСЦЕ,RUSCE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,4.40
"71161","742465",МЕЗДРАЈА,MEZDRAJA,ТРГОВИШТЕ,TRGOVIŠTE,14.32,2.82,0.48,3.80
"70335","706582",БИСТАР,BISTAR,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,19.82
"70351","707708",БУШТРАЊЕ,BUŠTRANJE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,4.95
"70351","708062",СВЕТА ПЕТКА,SVETA PETKA,БУЈАНОВАЦ,BUJANOVAC,48.92,2.87,8.71,11.99
"70335","706728",ДОГАНИЦА,DOGANICA,БОСИЛЕГРАД,BOSILEGRAD,4.34,0.00,1.00,15.38
"70351","707732",ВРБАН,VRBAN,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,7.30
"71161","742341",ДЕЈАНЦЕ,DEJANCE,ТРГОВИШТЕ,TRGOVIŠTE,4.36,0.00,0.40,6.60
"70432","712035",РУСЦЕ,RUSCE,ВРАЊЕ,VRANJE,0.00,0.00,0.00,3.96
"70351","707651",БОРОВАЦ,BOROVAC,БУЈАНОВАЦ,BUJANOVAC,45.86,20.28,25.63,43.18
"70335","706957",РИКАЧЕВО,RIKAČEVO,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,12.62
"71161","742406",ЗЛАДОВЦЕ,ZLADOVCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,9.90
"71161","742457",МАРГАНЦЕ,MARGANCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,7.50
