MatBrO,ImeOpsCir,ImeOpsLat,P_LA_15,P_LA_15-19,SOL_15,SOL_15-19
"70939",ПИРОТ,PIROT,17.69,9.34,4348.79,6608.84
"71196",ЋИЋЕВАЦ,ĆIĆEVAC,32.87,13.92,469.96,735.75
"70424",ВЛАСОТИНЦЕ,VLASOTINCE,33.93,15.34,1047.89,1612.59
"80381",СОМБОР,SOMBOR,18.32,15.69,4509.44,8089.74
"70181",НОВИ БЕОГРАД,NOVI BEOGRAD,98.75,100.00,15928.04,15601.96
"70947",ПОЖАРЕВАЦ,POŽAREVAC,55.17,61.56,6188.87,7922.36
"70432",ВРАЊЕ,VRANJE,26.09,18.58,4008.56,5213.86
"70688",КУРШУМЛИЈА,KURŠUMLIJA,11.05,3.41,939.11,2516.96
"71200",ЋУПРИЈА,ĆUPRIJA,46.68,39.37,2521.51,3292.71
"80390",СРБОБРАН,SRBOBRAN,20.11,15.26,1693.32,2155.03
"80128",ВРШАЦ,VRŠAC,21.44,14.10,3760.88,5790.31
"70157",ЗЕМУН,ZEMUN,77.65,98.91,12253.55,12678.56
"70670",КРУШЕВАЦ,KRUŠEVAC,53.52,30.93,8060.47,8560.70
"70408",ВЛАДИМИРЦИ,VLADIMIRCI,34.76,18.85,774.77,1837.78
"80110",БЕЧЕЈ,BEČEJ,20.29,12.22,2049.90,2806.47
"70165",ЛАЗАРЕВАЦ,LAZAREVAC,82.65,91.07,7892.88,10315.32
"80365",СЕНТА,SENTA,18.06,10.58,1043.69,1577.65
"71188",ТУТИН,TUTIN,21.15,8.28,1291.83,2780.80
"70416",ВЛАДИЧИН ХАН,VLADIČIN HAN,19.71,12.70,988.82,1832.29
"90026",ВУЧИТРН,VUČITRN,39.78,21.91,1397.27,2273.67
"90093",ЗУБИН ПОТОК,ZUBIN POTOK,17.11,8.91,707.54,1431.22
"90352",ЗВЕЧАН,ZVEČAN,35.98,23.54,598.78,804.01
"90336",ГОРА,GORA,13.37,2.48,144.87,651.50
"90328",ШТРПЦЕ,ŠTRPCE,25.23,12.15,393.39,847.96
"90115",КАЧАНИК,KAČANIK,26.07,18.86,572.46,1644.01
"90255",ПРИЗРЕН,PRIZREN,44.00,24.79,4323.71,6116.98
"90018",ВИТИНА,VITINA,44.76,31.63,1125.27,1965.49
"90301",УРОШЕВАЦ,UROŠEVAC,51.44,51.77,3842.15,5853.46
"90310",ШТИМЉЕ,ŠTIMLJE,46.15,25.87,412.44,788.03
"90280",СУВА РЕКА,SUVA REKA,46.58,22.30,1495.24,2470.57
"90212",ОРАХОВАЦ,ORAHOVAC,49.08,19.96,1463.56,2363.50
"90085",ЂАКОВИЦА,ĐAKOVICA,40.58,14.71,2191.09,3204.52
"90042",ГЊИЛАНЕ,GNJILANE,32.41,19.76,2064.18,3394.20
"90166",ЛИПЉАН,LIPLJAN,50.96,34.37,2269.31,3465.36
"90182",НОВО БРДО,NOVO BRDO,19.96,2.87,45.14,212.11
"90069",ДЕЧАНИ,DEČANI,24.32,12.99,538.67,1290.81
"90131",КОСОВО ПОЉЕ,KOSOVO POLJE,78.90,84.59,2161.87,2551.87
"90123",КЛИНА,KLINA,42.32,13.05,822.60,1636.91
"90034",ГЛОГОВАЦ,GLOGOVAC,59.92,31.40,1525.56,2138.00
"90140",КОСОВСКА КАМЕНИЦА,KOSOVSKA KAMENICA,17.72,6.09,453.23,1370.24
"90204",ОБИЛИЋ,OBILIĆ,71.37,66.71,1181.38,1667.91
"90263",ПРИШТИНА-ГРАД,PRIŠTINA-GRAD,38.21,29.81,7224.70,9077.12
"90239",ПЕЋ,PEĆ,30.80,18.10,2685.75,4108.81
"90271",СРБИЦА,SRBICA,31.11,5.01,699.96,1435.04
"90298",КОСОВСКА МИТРОВИЦА,KOSOVSKA MITROVICA,28.30,16.84,1993.17,2489.51
"90247",ПОДУЈЕВО,PODUJEVO,31.05,14.97,1443.00,2770.94
"90158",ЛЕПОСАВИЋ,LEPOSAVIĆ,16.60,5.99,1007.81,1912.20
"90107",ИСТОК,ISTOK,23.99,8.09,650.55,1511.27
