MatBrO,ImeOpsCir,ImeOpsLat,P_1,P_2,P_3,P_4,P_5,P_6,Mean_ELEV
"80128",ВРШАЦ,VRŠAC,92.63,7.19,0.18,0.00,0.00,0.00,120.77
"70157",ЗЕМУН,ZEMUN,100.00,0.00,0.00,0.00,0.00,0.00,80.35
"70670",КРУШЕВАЦ,KRUŠEVAC,20.95,61.92,11.47,3.00,2.66,0.00,346.83
"70408",ВЛАДИМИРЦИ,VLADIMIRCI,95.25,4.75,0.00,0.00,0.00,0.00,128.62
"80110",БЕЧЕЈ,BEČEJ,100.00,0.00,0.00,0.00,0.00,0.00,81.81
"70165",ЛАЗАРЕВАЦ,LAZAREVAC,70.88,29.12,0.00,0.00,0.00,0.00,166.13
"80365",СЕНТА,SENTA,100.00,0.00,0.00,0.00,0.00,0.00,93.46
"71188",ТУТИН,TUTIN,0.00,0.00,2.24,21.52,69.93,6.31,1146.46
"70416",ВЛАДИЧИН ХАН,VLADIČIN HAN,0.00,28.48,39.08,19.32,13.12,0.00,690.22
"90026",ВУЧИТРН,VUČITRN,0.00,0.00,80.92,12.24,6.84,0.00,677.57
"90093",ЗУБИН ПОТОК,ZUBIN POTOK,0.00,0.00,23.68,40.79,30.92,4.61,960.98
"90352",ЗВЕЧАН,ZVEČAN,0.00,3.74,60.90,25.45,9.91,0.00,748.56
"90336",ГОРА,GORA,0.00,0.00,0.11,4.00,26.38,69.51,1706.34
"90328",ШТРПЦЕ,ŠTRPCE,0.00,0.00,5.25,15.94,49.33,29.48,1331.30
"90115",КАЧАНИК,KAČANIK,0.00,5.47,54.13,24.72,12.02,3.66,797.43
"90255",ПРИЗРЕН,PRIZREN,0.00,33.03,13.33,10.63,28.02,14.99,923.86
"90018",ВИТИНА,VITINA,0.00,19.49,64.19,12.57,3.76,0.00,642.31
"90301",УРОШЕВАЦ,UROŠEVAC,0.00,0.00,74.56,9.89,13.90,1.65,725.85
"90310",ШТИМЉЕ,ŠTIMLJE,0.00,0.00,73.83,18.78,7.39,0.00,714.99
"90280",СУВА РЕКА,SUVA REKA,0.00,25.50,43.46,16.26,12.02,2.77,717.29
"90212",ОРАХОВАЦ,ORAHOVAC,0.00,54.13,41.38,4.47,0.03,0.00,506.37
"90085",ЂАКОВИЦА,ĐAKOVICA,0.00,75.27,15.48,4.49,3.00,1.76,510.41
"90042",ГЊИЛАНЕ,GNJILANE,0.00,9.28,66.24,23.34,1.14,0.00,686.20
"90166",ЛИПЉАН,LIPLJAN,0.00,0.00,81.90,17.58,0.52,0.00,666.40
"90182",НОВО БРДО,NOVO BRDO,0.00,0.00,21.32,72.32,6.36,0.00,864.39
"90069",ДЕЧАНИ,DEČANI,0.00,11.39,31.76,4.60,17.12,35.13,1160.70
"90131",КОСОВО ПОЉЕ,KOSOVO POLJE,0.00,1.13,98.21,0.65,0.01,0.00,580.37
"90123",КЛИНА,KLINA,0.00,45.54,54.41,0.04,0.00,0.00,509.49
"90034",ГЛОГОВАЦ,GLOGOVAC,0.00,0.00,90.21,9.53,0.25,0.00,673.29
"90140",КОСОВСКА КАМЕНИЦА,KOSOVSKA KAMENICA,0.00,11.82,55.40,27.83,4.95,0.00,711.96
"90204",ОБИЛИЋ,OBILIĆ,0.00,0.84,98.87,0.28,0.00,0.00,577.72
"90263",ПРИШТИНА-ГРАД,PRIŠTINA-GRAD,0.00,0.00,52.33,40.55,7.12,0.00,785.95
"90239",ПЕЋ,PEĆ,0.00,31.26,15.38,4.04,19.32,30.00,1065.35
"90271",СРБИЦА,SRBICA,0.00,0.56,88.61,9.24,1.59,0.00,691.31
"90298",КОСОВСКА МИТРОВИЦА,KOSOVSKA MITROVICA,0.00,0.21,38.31,21.61,36.27,3.60,936.42
"90247",ПОДУЈЕВО,PODUJEVO,0.00,0.00,60.39,24.49,14.65,0.48,801.26
"90158",ЛЕПОСАВИЋ,LEPOSAVIĆ,0.00,6.11,40.41,25.84,24.71,2.93,864.18
"90107",ИСТОК,ISTOK,0.00,31.42,31.92,5.42,13.65,17.59,850.48
