MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,P_1,P_2,P_3,P_4,P_5,P_6,Mean_ELEV
"70343","707082",ВЕЛИКА ГРАБОВНИЦА,VELIKA GRABOVNICA,БРУС,BRUS,0.00,4.54,53.23,20.36,21.88,0.00,809.15
"70980","735175",ТАШЕВО,TAŠEVO,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,8.18,88.21,3.61,0.00,0.00,625.62
"70343","707309",ЗЛАТАРИ,ZLATARI,БРУС,BRUS,0.00,89.46,10.54,0.00,0.00,0.00,396.68
"71064","738999",ОКРУГЛИЦА,OKRUGLICA,СВРЉИГ,SVRLJIG,0.00,27.61,53.53,8.76,10.10,0.00,635.47
"71021","737437",РАКОВАЦ,RAKOVAC,РАШКА,RAŠKA,0.00,0.00,16.23,26.23,57.54,0.00,1018.50
"71307","729086",ГОРЊИ МАТЕЈЕВАЦ,GORNJI MATEJEVAC,ПАНТЕЛЕЈ,PANTELEJ,0.00,64.83,34.79,0.38,0.00,0.00,442.17
"70289","705748",САЛАШ ЦРНОБАРСКИ,SALAŠ CRNOBARSKI,БОГАТИЋ,BOGATIĆ,100.00,0.00,0.00,0.00,0.00,0.00,85.26
"71145","741850",СЕВОЈНО,SEVOJNO,СЕВОЈНО,SEVOJNO,0.00,42.98,57.02,0.00,0.00,0.00,519.20
"80438","804568",МАЛА БОСНА,MALA BOSNA,СУБОТИЦА,SUBOTICA,100.00,0.00,0.00,0.00,0.00,0.00,115.27
"71072","739588",ЖИТНИЋЕ,ŽITNIĆE,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,0.00,100.00,0.00,1130.64
"70084","703419",ТОПОНИЦА,TOPONICA,БЕЛА ПАЛАНКА,BELA PALANKA,0.00,36.33,43.25,11.72,7.75,0.95,633.78
"70548","715255",ГОРЊИ ДРЕНОВАЦ,GORNJI DRENOVAC,ЖИТОРАЂА,ŽITORAĐA,0.00,100.00,0.00,0.00,0.00,0.00,275.61
"70939","732648",РАСНИЦА,RASNICA,ПИРОТ,PIROT,0.00,43.14,56.56,0.30,0.00,0.00,530.70
"70505","714437",ИЗАТОВЦИ,IZATOVCI,ДИМИТРОВГРАД,DIMITROVGRAD,0.00,0.00,43.05,33.99,22.96,0.00,889.62
"70548","715387",КОЊАРНИК,KONJARNIK,ЖИТОРАЂА,ŽITORAĐA,0.00,95.31,4.69,0.00,0.00,0.00,364.86
"70874","731048",ШАВЦИ,ŠAVCI,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,85.03,14.97,0.00,0.00,666.34
"70289","705659",БАНОВО ПОЉЕ,BANOVO POLJE,БОГАТИЋ,BOGATIĆ,100.00,0.00,0.00,0.00,0.00,0.00,80.97
"70688","721727",БЕЛО ПОЉЕ,BELO POLJE,КУРШУМЛИЈА,KURŠUMLIJA,0.00,78.74,21.26,0.00,0.00,0.00,478.41
"70939","732109",БЕРИЛОВАЦ,BERILOVAC,ПИРОТ,PIROT,0.00,33.45,51.16,14.90,0.50,0.00,589.62
"71072","740098",ТУТИЋЕ,TUTIĆE,СЈЕНИЦА,SJENICA,0.00,0.00,29.03,47.92,23.06,0.00,881.22
"70726","723860",ВИНА,VINA,ЛЕСКОВАЦ,LESKOVAC,0.00,91.93,8.07,0.00,0.00,0.00,393.99
"70726","723932",ГОРЊА БУНУША,GORNJA BUNUŠA,ЛЕСКОВАЦ,LESKOVAC,0.00,100.00,0.00,0.00,0.00,0.00,309.95
"71188","744018",РИБАРИЋЕ,RIBARIĆE,ТУТИН,TUTIN,0.00,0.00,30.81,40.87,28.32,0.00,905.59
"70688","722120",КУТЛОВО,KUTLOVO,КУРШУМЛИЈА,KURŠUMLIJA,0.00,1.09,98.91,0.00,0.00,0.00,633.61
"70726","724157",ДОЊА ЈАЈИНА,DONJA JAJINA,ЛЕСКОВАЦ,LESKOVAC,0.00,100.00,0.00,0.00,0.00,0.00,251.17
"70718","723584",ШТУЛАЦ,ŠTULAC,ЛЕБАНЕ,LEBANE,0.00,99.55,0.45,0.00,0.00,0.00,400.61
"70718","723231",ГОЛИ РИД,GOLI RID,ЛЕБАНЕ,LEBANE,0.00,100.00,0.00,0.00,0.00,0.00,331.57
"70726","724734",НОМАНИЦА,NOMANICA,ЛЕСКОВАЦ,LESKOVAC,0.00,100.00,0.00,0.00,0.00,0.00,231.53
"70726","724033",ГОРЊИ БУНИБРОД,GORNJI BUNIBROD,ЛЕСКОВАЦ,LESKOVAC,0.00,100.00,0.00,0.00,0.00,0.00,250.33
"70424","710709",БРЕЗОВИЦА,BREZOVICA,ВЛАСОТИНЦЕ,VLASOTINCE,0.00,29.37,68.11,2.53,0.00,0.00,565.82
"70726","725161",ШАИНОВАЦ,ŠAINOVAC,ЛЕСКОВАЦ,LESKOVAC,0.00,100.00,0.00,0.00,0.00,0.00,278.66
"70424","710806",ДАДИНЦЕ,DADINCE,ВЛАСОТИНЦЕ,VLASOTINCE,0.00,65.61,34.39,0.00,0.00,0.00,470.79
"80217","802247",ИДВОР,IDVOR,КОВАЧИЦА,KOVAČICA,100.00,0.00,0.00,0.00,0.00,0.00,75.45
"80217","802280",САМОШ,SAMOŠ,КОВАЧИЦА,KOVAČICA,100.00,0.00,0.00,0.00,0.00,0.00,119.80
"70424","710750",ГОРЊИ ДЕЈАН,GORNJI DEJAN,ВЛАСОТИНЦЕ,VLASOTINCE,0.00,38.24,61.76,0.00,0.00,0.00,524.96
"80101","800899",БАНОШТОР,BANOŠTOR,БЕОЧИН,BEOČIN,64.28,35.72,0.00,0.00,0.00,0.00,185.62
"70505","714208",БАРЈЕ,BARJE,ДИМИТРОВГРАД,DIMITROVGRAD,0.00,0.00,19.22,80.57,0.21,0.00,850.99
"71188","744069",СЕВЕРНИ КОЧАРНИК,SEVERNI KOČARNIK,ТУТИН,TUTIN,0.00,0.00,0.00,100.00,0.00,0.00,932.55
"71170","742775",ГРАБОВАЦ,GRABOVAC,ТРСТЕНИК,TRSTENIK,9.46,82.83,7.71,0.00,0.00,0.00,359.92
"71196","744271",МРЗЕНИЦА,MRZENICA,ЋИЋЕВАЦ,ĆIĆEVAC,38.97,61.03,0.00,0.00,0.00,0.00,236.78
"71129","740772",БОГДИНАЦ,BOGDINAC,СОКОБАЊА,SOKOBANJA,0.00,47.60,52.40,0.00,0.00,0.00,488.53
"70629","718254",МУШИЋИ,MUŠIĆI,КОСЈЕРИЋ,KOSJERIĆ,0.00,2.12,97.85,0.03,0.00,0.00,608.72
"70491","714097",РАВНА РЕКА,RAVNA REKA,ДЕСПОТОВАЦ,DESPOTOVAC,0.00,0.35,99.65,0.00,0.00,0.00,646.62
"70629","718092",БЈЕЛОПЕРИЦА,BJELOPERICA,КОСЈЕРИЋ,KOSJERIĆ,0.00,58.15,41.85,0.00,0.00,0.00,513.68
"70645","718866",ЂУРИСЕЛО,ĐURISELO,КРАГУЈЕВАЦ,KRAGUJEVAC,0.00,100.00,0.00,0.00,0.00,0.00,311.42
"71145","741477",БИОСКА,BIOSKA,УЖИЦЕ,UŽICE,0.00,0.00,74.85,25.15,0.00,0.00,738.57
"71048","738263",МЕДОЈЕВАЦ,MEDOJEVAC,ЈАГОДИНА,JAGODINA,43.55,56.45,0.00,0.00,0.00,0.00,218.02
"70408","709786",БЕЉИН,BELJIN,ВЛАДИМИРЦИ,VLADIMIRCI,100.00,0.00,0.00,0.00,0.00,0.00,93.92
"70408","709891",ЈАЛОВИК,JALOVIK,ВЛАДИМИРЦИ,VLADIMIRCI,96.21,3.79,0.00,0.00,0.00,0.00,143.32
"70173","704431",МАРКОВАЦ,MARKOVAC,МЛАДЕНОВАЦ,MLADENOVAC,100.00,0.00,0.00,0.00,0.00,0.00,151.89
"70912","731692",БОШЊАК,BOŠNJAK,ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,74.56,25.44,0.00,0.00,0.00,0.00,178.59
"70700","723061",НЕПРИЧАВА,NEPRIČAVA,ЛАЈКОВАЦ,LAJKOVAC,99.45,0.55,0.00,0.00,0.00,0.00,142.65
"71218","744611",ЗВИЗДАР,ZVIZDAR,УБ,UB,100.00,0.00,0.00,0.00,0.00,0.00,133.69
"71102","740667",КУСАДАК,KUSADAK,СМЕДЕРЕВСКА ПАЛАНКА,SMEDEREVSKA PALANKA,90.48,9.52,0.00,0.00,0.00,0.00,156.84
"70670","721298",МЕШЕВО,MEŠEVO,КРУШЕВАЦ,KRUŠEVAC,41.89,58.11,0.00,0.00,0.00,0.00,217.80
"70025","700959",ДОЊИ АДРОВАЦ,DONJI ADROVAC,АЛЕКСИНАЦ,ALEKSINAC,79.53,20.47,0.00,0.00,0.00,0.00,182.16
"71064","738891",ЛАБУКОВО,LABUKOVO,СВРЉИГ,SVRLJIG,0.00,31.62,67.84,0.54,0.00,0.00,553.55
"70670","720623",БОВАН,BOVAN,КРУШЕВАЦ,KRUŠEVAC,0.00,100.00,0.00,0.00,0.00,0.00,287.22
"70980","735086",РАСНО,RASNO,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,0.85,50.27,44.91,3.96,0.00,793.58
"71064","739090",СВРЉИГ,SVRLJIG,СВРЉИГ,SVRLJIG,0.00,100.00,0.00,0.00,0.00,0.00,382.90
"70670","721522",СУВАЈА,SUVAJA,КРУШЕВАЦ,KRUŠEVAC,0.00,79.93,20.07,0.00,0.00,0.00,391.49
"71064","738794",ГРБАВЧЕ,GRBAVČE,СВРЉИГ,SVRLJIG,0.00,29.04,70.74,0.22,0.00,0.00,576.34
"70866","729701",БУКОВИК,BUKOVIK,НОВА ВАРОШ,NOVA VAROŠ,0.00,0.00,0.00,6.70,93.30,0.00,1143.59
"70564","716057",ВРМБАЈЕ,VRMBAJE,ИВАЊИЦА,IVANJICA,0.00,0.00,21.15,41.28,37.54,0.04,961.10
"70564","716260",КУШИЋИ,KUŠIĆI,ИВАЊИЦА,IVANJICA,0.00,0.00,2.86,28.59,68.53,0.03,1113.07
"71021","737186",КОРЛАЋЕ,KORLAĆE,РАШКА,RAŠKA,0.00,38.88,34.51,12.31,14.30,0.00,651.76
"70980","734390",БИСКУПИЋИ,BISKUPIĆI,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,0.00,3.32,16.47,80.22,0.00,1163.22
"71072","739804",ЛИЈЕВА РЕКА,LIJEVA REKA,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,4.02,93.66,2.32,1261.18
"70971","734144",КАСИДОЛИ,KASIDOLI,ПРИБОЈ,PRIBOJ,0.00,9.29,55.56,19.50,15.65,0.00,762.54
"70971","734349",ЦРНУЗИ,CRNUZI,ПРИБОЈ,PRIBOJ,0.00,5.94,44.52,30.59,18.95,0.00,822.45
"71315","729329",МЕДОШЕВАЦ,MEDOŠEVAC,ЦРВЕНИ КРСТ,CRVENI KRST,92.30,7.70,0.00,0.00,0.00,0.00,191.24
"71072","739561",ДУНИШИЋЕ,DUNIŠIĆE,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,0.00,100.00,0.00,1229.05
"70025","701220",ПРЋИЛОВИЦА,PRĆILOVICA,АЛЕКСИНАЦ,ALEKSINAC,78.29,21.71,0.00,0.00,0.00,0.00,182.91
"70602","717410",ГРАДИШТЕ,GRADIŠTE,КЊАЖЕВАЦ,KNJAŽEVAC,0.00,58.93,41.07,0.00,0.00,0.00,481.76
"70670","721603",ЦРКВИНА,CRKVINA,КРУШЕВАЦ,KRUŠEVAC,10.70,89.30,0.00,0.00,0.00,0.00,251.21
"70670","721590",ЦЕРОВА,CEROVA,КРУШЕВАЦ,KRUŠEVAC,4.67,95.33,0.00,0.00,0.00,0.00,254.68
"71315","729051",ГОРЊА ТРНАВА,GORNJA TRNAVA,ЦРВЕНИ КРСТ,CRVENI KRST,26.48,73.52,0.00,0.00,0.00,0.00,229.48
"70017","700550",СТУБАЛ,STUBAL,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.00,100.00,0.00,0.00,0.00,0.00,362.63
"70017","700568",СУБОТИЦА,SUBOTICA,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.00,100.00,0.00,0.00,0.00,0.00,322.06
"71307","729183",ЈАСЕНОВИК,JASENOVIK,ПАНТЕЛЕЈ,PANTELEJ,0.00,55.48,44.52,0.00,0.00,0.00,492.52
"70084","703290",МИРАНОВАЦ,MIRANOVAC,БЕЛА ПАЛАНКА,BELA PALANKA,0.00,0.00,98.10,1.90,0.00,0.00,674.97
"70670","721042",КОБИЉЕ,KOBILJE,КРУШЕВАЦ,KRUŠEVAC,35.78,64.22,0.00,0.00,0.00,0.00,218.11
"70980","734560",ДИВЦИ,DIVCI,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,7.51,59.10,31.03,2.36,0.00,727.69
"71021","737208",КРЕМИЋЕ,KREMIĆE,РАШКА,RAŠKA,0.00,0.00,24.36,36.83,38.82,0.00,947.83
"70599","716910",ГУНЦАТИ,GUNCATI,КНИЋ,KNIĆ,0.00,79.63,20.37,0.00,0.00,0.00,410.04
"70874","730262",ДОЈИНОВИЋЕ,DOJINOVIĆE,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,30.14,69.86,0.00,1045.64
"70980","734616",ЂУРАШИЋИ,ĐURAŠIĆI,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,0.96,32.60,32.84,33.61,0.00,891.91
"70017","700436",ПЛОЧА,PLOČA,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.00,0.00,0.00,0.44,87.94,11.61,1256.47
"70939","732338",ЈАЛБОТИНА,JALBOTINA,ПИРОТ,PIROT,0.00,2.07,72.17,25.76,0.00,0.00,672.50
"70297","706094",ПЛАВЦЕ,PLAVCE,БОЈНИК,BOJNIK,0.00,100.00,0.00,0.00,0.00,0.00,304.33
"71188","743755",ЛЕСКОВА,LESKOVA,ТУТИН,TUTIN,0.00,0.00,0.00,0.00,100.00,0.00,1214.59
"70297","705896",ДРАГОВАЦ,DRAGOVAC,БОЈНИК,BOJNIK,0.00,100.00,0.00,0.00,0.00,0.00,274.54
"70653","719641",ЗАСАД,ZASAD,КРАЉЕВО,KRALJEVO,0.00,7.91,47.16,34.59,10.33,0.00,764.29
"70050","702226",МАСУРОВАЦ,MASUROVAC,БАБУШНИЦА,BABUŠNICA,0.00,0.19,30.64,38.61,30.56,0.00,891.74
"70297","706019",ЛОЗАНЕ,LOZANE,БОЈНИК,BOJNIK,0.00,86.38,13.62,0.00,0.00,0.00,449.00
"70971","734110",ЈЕЛАЧА,JELAČA,ПРИБОЈ,PRIBOJ,0.00,0.00,19.49,54.39,26.11,0.00,910.39
"71170","743020",ПОПИНА,POPINA,ТРСТЕНИК,TRSTENIK,0.00,99.53,0.47,0.00,0.00,0.00,325.13
"70726","724351",ЗАЛУЖЊЕ,ZALUŽNJE,ЛЕСКОВАЦ,LESKOVAC,0.00,100.00,0.00,0.00,0.00,0.00,278.35
"70424","710792",ГУЊЕТИНА,GUNJETINA,ВЛАСОТИНЦЕ,VLASOTINCE,0.00,0.00,98.09,1.91,0.00,0.00,686.93
"71188","743267",БЛАЦА,BLACA,ТУТИН,TUTIN,0.00,0.00,2.33,83.22,14.44,0.00,948.20
"70688","721859",ДАБИНОВАЦ,DABINOVAC,КУРШУМЛИЈА,KURŠUMLIJA,0.00,0.00,60.77,39.23,0.00,0.00,765.13
"70505","714500",ПАСКАШИЈА,PASKAŠIJA,ДИМИТРОВГРАД,DIMITROVGRAD,0.00,0.00,100.00,0.00,0.00,0.00,668.70
"70939","732451",МИЛОЈКОВАЦ,MILOJKOVAC,ПИРОТ,PIROT,0.00,0.00,100.00,0.00,0.00,0.00,611.33
"70726","724777",ОРАШАЦ,ORAŠAC,ЛЕСКОВАЦ,LESKOVAC,0.00,92.69,7.31,0.00,0.00,0.00,379.55
"70424","710873",ДОЊИ ПРИСЈАН,DONJI PRISJAN,ВЛАСОТИНЦЕ,VLASOTINCE,0.00,44.33,52.95,2.71,0.00,0.00,543.78
"71064","739049",ПЛУЖИНА,PLUŽINA,СВРЉИГ,SVRLJIG,0.00,63.84,36.16,0.00,0.00,0.00,494.86
"70564","716162",ЈАВОРСКА РАВНА ГОРА,JAVORSKA RAVNA GORA,ИВАЊИЦА,IVANJICA,0.00,0.00,10.56,40.93,48.50,0.00,1025.40
"70050","701980",ВРЕЛО,VRELO,БАБУШНИЦА,BABUŠNICA,0.00,1.52,59.54,37.56,1.38,0.00,762.22
"71188","743623",ЖУЧЕ,ŽUČE,ТУТИН,TUTIN,0.00,0.00,0.00,16.16,83.84,0.00,1069.34
"70297","705837",ВУЈАНОВО,VUJANOVO,БОЈНИК,BOJNIK,0.00,83.67,16.33,0.00,0.00,0.00,459.30
"71188","743879",ОРЉЕ,ORLJE,ТУТИН,TUTIN,0.00,0.00,0.03,36.52,63.46,0.00,1041.91
"70602","717860",РАВНО БУЧЈЕ,RAVNO BUČJE,КЊАЖЕВАЦ,KNJAŽEVAC,0.00,0.00,16.85,31.96,43.86,7.33,1061.30
"71064","738883",КОПАЈКОШАРА,KOPAJKOŠARA,СВРЉИГ,SVRLJIG,0.00,17.49,82.51,0.00,0.00,0.00,563.02
"70670","720712",ВЕЛИКИ КУПЦИ,VELIKI KUPCI,КРУШЕВАЦ,KRUŠEVAC,0.00,100.00,0.00,0.00,0.00,0.00,261.06
"70017","700053",БОТУРИЋИ,BOTURIĆI,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.00,0.00,100.00,0.00,0.00,0.00,621.80
"70653","719471",ВРХ,VRH,КРАЉЕВО,KRALJEVO,0.00,0.00,3.84,14.13,72.15,9.89,1233.30
"70017","700126",ВРАНШТИЦА,VRANŠTICA,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.00,0.00,7.61,40.25,52.15,0.00,1003.06
"71064","739103",СЛИВЈЕ,SLIVJE,СВРЉИГ,SVRLJIG,0.00,26.01,73.99,0.00,0.00,0.00,524.92
"70017","700576",ТРЖАЦ,TRŽAC,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.00,100.00,0.00,0.00,0.00,0.00,338.68
"70602","717169",АЛДИНА РЕКА,ALDINA REKA,КЊАЖЕВАЦ,KNJAŽEVAC,0.00,0.00,31.41,32.74,31.03,4.82,975.78
"71064","739065",ПРЕКОНОГА,PREKONOGA,СВРЉИГ,SVRLJIG,0.00,43.36,47.99,8.64,0.00,0.00,572.99
"70050","702102",ЗАВИДИНЦЕ,ZAVIDINCE,БАБУШНИЦА,BABUŠNICA,0.00,55.42,44.58,0.00,0.00,0.00,504.44
"70688","722421",ПРОЛОМ,PROLOM,КУРШУМЛИЈА,KURŠUMLIJA,0.00,0.00,47.17,29.76,23.06,0.00,851.36
"70050","702048",ДОЛ,DOL,БАБУШНИЦА,BABUŠNICA,0.00,17.93,81.14,0.93,0.00,0.00,580.95
"71170","742902",МАЛА ДРЕНОВА,MALA DRENOVA,ТРСТЕНИК,TRSTENIK,0.00,100.00,0.00,0.00,0.00,0.00,268.03
"70653","719331",БЗОВИК,BZOVIK,КРАЉЕВО,KRALJEVO,0.00,0.00,0.00,0.00,100.00,0.00,1227.81
"70653","720003",ПЛАНА,PLANA,КРАЉЕВО,KRALJEVO,0.00,0.09,17.89,38.15,43.87,0.00,956.34
"70769","726214",БРАНЧИЋ,BRANČIĆ,ЉИГ,LJIG,55.59,44.41,0.00,0.00,0.00,0.00,199.40
"70688","722448",РАСТЕЛИЦА,RASTELICA,КУРШУМЛИЈА,KURŠUMLIJA,0.00,0.00,2.19,42.61,55.20,0.00,1024.41
"70688","721883",ДЕДИНАЦ,DEDINAC,КУРШУМЛИЈА,KURŠUMLIJA,0.00,24.49,75.51,0.00,0.00,0.00,555.31
"70564","716456",СМИЉЕВАЦ,SMILJEVAC,ИВАЊИЦА,IVANJICA,0.00,0.00,0.60,19.74,79.66,0.00,1136.51
"70602","717592",ЈАЊА,JANJA,КЊАЖЕВАЦ,KNJAŽEVAC,0.00,1.58,76.38,22.04,0.00,0.00,701.44
"71188","743682",ЈЕЗГРОВИЋЕ,JEZGROVIĆE,ТУТИН,TUTIN,0.00,0.00,53.34,46.66,0.00,0.00,797.16
"71188","743259",БИОХАНЕ,BIOHANE,ТУТИН,TUTIN,0.00,0.00,0.00,78.27,21.73,0.00,965.36
"70262","705349",ДОЊЕ ГРГУРЕ,DONJE GRGURE,БЛАЦЕ,BLACE,0.00,79.62,20.38,0.00,0.00,0.00,469.19
"70939","732281",ДОБРИ ДО,DOBRI DO,ПИРОТ,PIROT,0.00,0.00,23.09,50.21,26.69,0.00,908.50
"70505","714453",КАМЕНИЦА,KAMENICA,ДИМИТРОВГРАД,DIMITROVGRAD,0.00,0.00,11.50,58.91,29.60,0.00,949.06
"70998","736082",ОБРТИНЦЕ,OBRTINCE,ПРОКУПЉЕ,PROKUPLJE,0.00,0.48,77.80,21.72,0.00,0.00,722.39
"70998","735655",ГРАБОВАЦ,GRABOVAC,ПРОКУПЉЕ,PROKUPLJE,0.00,0.00,100.00,0.00,0.00,0.00,622.05
"80411","804355",СРЕМСКИ КАРЛОВЦИ,SREMSKI KARLOVCI,СРЕМСКИ КАРЛОВЦИ,SREMSKI KARLOVCI,69.00,31.00,0.00,0.00,0.00,0.00,161.20
"80101","800945",РАКОВАЦ,RAKOVAC,БЕОЧИН,BEOČIN,44.32,55.68,0.00,0.00,0.00,0.00,221.85
"80217","802271",ПУТНИКОВО,PUTNIKOVO,КОВАЧИЦА,KOVAČICA,100.00,0.00,0.00,0.00,0.00,0.00,82.04
"70998","736104",ПАСЈАЧА,PASJAČA,ПРОКУПЉЕ,PROKUPLJE,0.00,1.14,54.60,44.26,0.00,0.00,770.72
"70718","723410",ПЕРТАТЕ,PERTATE,ЛЕБАНЕ,LEBANE,0.00,100.00,0.00,0.00,0.00,0.00,273.88
"70467","712540",ГОРЊЕ ВЛАСЕ,GORNJE VLASE,ГАЏИН ХАН,GADŽIN HAN,0.00,62.78,37.22,0.00,0.00,0.00,477.74
"70874","731064",ШТИТАРЕ,ŠTITARE,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,46.82,53.18,0.00,1007.53
"71072","740110",УГАО,UGAO,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,0.00,100.00,0.00,1261.77
"71021","737283",МУРЕ,MURE,РАШКА,RAŠKA,0.00,38.21,61.79,0.00,0.00,0.00,531.92
"70726","723924",ГОРИНА,GORINA,ЛЕСКОВАЦ,LESKOVAC,0.00,44.62,47.91,7.26,0.20,0.00,529.24
"70980","734586",ДОЊИ СТРАЊАНИ,DONJI STRANJANI,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,0.05,8.92,24.79,50.00,16.25,1144.73
"71323","728942",БУБАЊ,BUBANJ,ПАЛИЛУЛА (НИШ),PALILULA (NIŠ),100.00,0.00,0.00,0.00,0.00,0.00,182.67
"71072","740101",УВАЦ,UVAC,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,1.18,98.82,0.00,1101.67
"70424","710814",ДОБРОВИШ,DOBROVIŠ,ВЛАСОТИНЦЕ,VLASOTINCE,0.00,3.62,85.95,10.43,0.00,0.00,663.99
"71072","739332",ВИШЊЕВА,VIŠNJEVA,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,0.00,78.66,21.34,1395.58
"70424","710962",КУКАВИЦА,KUKAVICA,ВЛАСОТИНЦЕ,VLASOTINCE,0.00,100.00,0.00,0.00,0.00,0.00,281.68
"80217","802263",ПАДИНА,PADINA,КОВАЧИЦА,KOVAČICA,100.00,0.00,0.00,0.00,0.00,0.00,122.45
"80349","803464",ХАЈДУЧИЦА,HAJDUČICA,ПЛАНДИШТЕ,PLANDIŠTE,100.00,0.00,0.00,0.00,0.00,0.00,75.47
"80152","801658",ПЕРЛЕЗ,PERLEZ,ЗРЕЊАНИН,ZRENJANIN,100.00,0.00,0.00,0.00,0.00,0.00,77.86
"70726","724793",ПАДЕЖ,PADEŽ,ЛЕСКОВАЦ,LESKOVAC,0.00,6.57,55.34,30.91,7.19,0.00,747.82
"71072","739154",БАГАЧИЋЕ,BAGAČIĆE,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,4.14,95.86,0.00,1054.46
"70939","732591",ПОКРЕВЕНИК,POKREVENIK,ПИРОТ,PIROT,0.00,2.56,38.88,54.12,4.44,0.00,808.59
"71072","740055",СУШИЦА,SUŠICA,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,0.00,100.00,0.00,1231.42
"70084","703087",ГОРЊА ГЛАМА,GORNJA GLAMA,БЕЛА ПАЛАНКА,BELA PALANKA,0.00,0.99,44.35,39.79,14.88,0.00,820.72
"71048","738182",КОЧИНО СЕЛО,KOČINO SELO,ЈАГОДИНА,JAGODINA,100.00,0.00,0.00,0.00,0.00,0.00,109.66
"70483","713368",ДОЊА ЦРНУЋА,DONJA CRNUĆA,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,0.00,81.52,18.48,0.00,0.00,0.00,441.24
"70483","713520",ЛОЧЕВЦИ,LOČEVCI,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,0.00,94.40,5.60,0.00,0.00,0.00,414.84
"70602","717401",ГОРЊЕ ЗУНИЧЕ,GORNJE ZUNIČE,КЊАЖЕВАЦ,KNJAŽEVAC,1.02,95.94,3.04,0.00,0.00,0.00,298.91
"70386","709468",СТАРО СЕЛО,STARO SELO,ВЕЛИКА ПЛАНА,VELIKA PLANA,97.05,2.95,0.00,0.00,0.00,0.00,113.64
"70033","701491",ГАРАШИ,GARAŠI,АРАНЂЕЛОВАЦ,ARANĐELOVAC,0.00,100.00,0.00,0.00,0.00,0.00,339.46
"70998","735515",ВОДИЦЕ,VODICE,ПРОКУПЉЕ,PROKUPLJE,0.00,54.70,42.26,3.03,0.00,0.00,519.88
"70874","730645",ОСАОНИЦА,OSAONICA,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,28.63,55.88,15.49,0.00,882.68
"70998","735493",ВИЧА,VIČA,ПРОКУПЉЕ,PROKUPLJE,0.00,97.11,2.89,0.00,0.00,0.00,345.60
"70017","700177",ГОРЊЕ РАТАЈЕ,GORNJE RATAJE,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.00,100.00,0.00,0.00,0.00,0.00,330.04
"70670","721409",ПОЗЛАТА,POZLATA,КРУШЕВАЦ,KRUŠEVAC,0.00,100.00,0.00,0.00,0.00,0.00,272.92
"70599","716774",БАРЕ,BARE,КНИЋ,KNIĆ,0.00,100.00,0.00,0.00,0.00,0.00,357.43
"70866","729671",БИСТРИЦА,BISTRICA,НОВА ВАРОШ,NOVA VAROŠ,0.00,2.21,34.71,30.82,32.25,0.00,888.26
"70688","722375",ПЕПЕЉЕВАЦ,PEPELJEVAC,КУРШУМЛИЈА,KURŠUMLIJA,0.00,100.00,0.00,0.00,0.00,0.00,392.79
"70670","720933",ЂУНИС,ĐUNIS,КРУШЕВАЦ,KRUŠEVAC,39.98,60.02,0.00,0.00,0.00,0.00,229.16
"71030","737607",ВЕЛИКА КРУШЕВИЦА,VELIKA KRUŠEVICA,РЕКОВАЦ,REKOVAC,0.00,90.22,9.78,0.00,0.00,0.00,365.26
"71242","745685",ЈЕЗДИНА,JEZDINA,ЧАЧАК,ČAČAK,0.00,61.34,38.66,0.00,0.00,0.00,481.10
"70017","700444",ПОПОВЦИ,POPOVCI,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.00,57.52,42.48,0.00,0.00,0.00,486.39
"70017","700231",ДОЊА ЗЛЕГИЊА,DONJA ZLEGINJA,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.00,100.00,0.00,0.00,0.00,0.00,279.62
