MatBrO,ImeOpsCir,ImeOpsLat,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,DENS_1,DENS_2,DENS_3,DENS_4,DENS_5,DENS_6
"70874",НОВИ ПАЗАР,NOVI PAZAR,0.00,9.01,272.37,232.80,219.71,9.26,0.00,26673.95,75011.08,2049.76,1912.85,129.96,0.00,2961.77,275.40,8.80,8.71,14.03
"71129",СОКОБАЊА,SOKOBANJA,0.00,175.66,242.16,76.77,30.85,0.03,0.00,13232.99,1285.34,221.44,10.54,0.00,0.00,75.33,5.31,2.88,0.34,0.00
"80055",БАЧ,BAČ,367.37,0.00,0.00,0.00,0.00,0.00,13417.38,0.00,0.00,0.00,0.00,0.00,36.52,0.00,0.00,0.00,0.00,0.00
"70629",КОСЈЕРИЋ,KOSJERIĆ,0.00,49.83,242.21,55.11,11.39,0.00,0.00,7339.76,2441.87,1361.36,0.00,0.00,0.00,147.29,10.08,24.70,0.00,0.00
"80314",ПАНЧЕВО,PANČEVO,755.39,0.00,0.00,0.00,0.00,0.00,119734.79,0.00,0.00,0.00,0.00,0.00,158.51,0.00,0.00,0.00,0.00,0.00
"70114",ВРАЧАР,VRAČAR,2.89,0.00,0.00,0.00,0.00,0.00,54511.01,0.00,0.00,0.00,0.00,0.00,18848.48,0.00,0.00,0.00,0.00,0.00
"70092",БАРАЈЕВО,BARAJEVO,142.06,71.08,0.00,0.00,0.00,0.00,13247.99,14551.05,0.00,0.00,0.00,0.00,93.26,204.71,0.00,0.00,0.00,0.00
"70882",ОСЕЧИНА,OSEČINA,7.90,250.26,48.08,12.56,0.00,0.00,1624.48,9052.28,572.42,87.51,0.00,0.00,205.75,36.17,11.91,6.97,0.00,0.00
"71137",СУРДУЛИЦА,SURDULICA,0.00,33.37,61.91,83.40,385.70,64.03,0.00,11341.05,6402.05,491.40,762.19,213.60,0.00,339.89,103.40,5.89,1.98,3.34
"80063",БАЧКА ПАЛАНКА,BAČKA PALANKA,581.44,9.05,0.00,0.00,0.00,0.00,52292.07,81.12,0.00,0.00,0.00,0.00,89.94,8.97,0.00,0.00,0.00,0.00
"70343",БРУС,BRUS,0.00,98.18,182.41,129.80,175.51,19.86,0.00,9976.12,2940.01,1104.27,890.63,166.33,0.00,101.62,16.12,8.51,5.07,8.38
