MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,Mean_ELEV,P_0–14,P_15–39,P_40–64,P_65+,TDR
"71161","742465",МЕЗДРАЈА,MEZDRAJA,ТРГОВИШТЕ,TRGOVIŠTE,706.32,13.33,20.00,53.33,13.33,36.36
"70335","706582",БИСТАР,BISTAR,БОСИЛЕГРАД,BOSILEGRAD,1119.06,14.02,22.43,33.64,29.91,78.33
"70351","707708",БУШТРАЊЕ,BUŠTRANJE,БУЈАНОВАЦ,BUJANOVAC,645.61,99999.00,99999.00,99999.00,99999.00,99999.00
"70351","708062",СВЕТА ПЕТКА,SVETA PETKA,БУЈАНОВАЦ,BUJANOVAC,527.53,99999.00,99999.00,99999.00,99999.00,99999.00
"70335","706728",ДОГАНИЦА,DOGANICA,БОСИЛЕГРАД,BOSILEGRAD,1522.01,14.29,28.57,28.57,28.57,75.00
"70351","707732",ВРБАН,VRBAN,БУЈАНОВАЦ,BUJANOVAC,703.47,99999.00,99999.00,99999.00,99999.00,99999.00
"71161","742341",ДЕЈАНЦЕ,DEJANCE,ТРГОВИШТЕ,TRGOVIŠTE,1077.61,10.00,20.00,35.00,35.00,81.82
"70432","712035",РУСЦЕ,RUSCE,ВРАЊЕ,VRANJE,755.61,29.11,32.91,22.78,15.19,79.55
"70351","707651",БОРОВАЦ,BOROVAC,БУЈАНОВАЦ,BUJANOVAC,485.56,99999.00,99999.00,99999.00,99999.00,99999.00
"70335","706957",РИКАЧЕВО,RIKAČEVO,БОСИЛЕГРАД,BOSILEGRAD,995.57,13.79,22.99,32.18,31.03,81.25
"71161","742406",ЗЛАДОВЦЕ,ZLADOVCE,ТРГОВИШТЕ,TRGOVIŠTE,1128.35,16.16,31.31,34.34,18.18,52.31
"71161","742457",МАРГАНЦЕ,MARGANCE,ТРГОВИШТЕ,TRGOVIŠTE,817.82,10.71,14.29,28.57,46.43,133.33
"70351","707635",БОГДАНОВАЦ,BOGDANOVAC,БУЈАНОВАЦ,BUJANOVAC,567.12,99999.00,99999.00,99999.00,99999.00,99999.00
"71161","742589",ЦРНОВЦЕ,CRNOVCE,ТРГОВИШТЕ,TRGOVIŠTE,1055.02,14.13,26.09,20.65,39.13,113.95
"70432","711276",БУШТРАЊЕ,BUŠTRANJE,ВРАЊЕ,VRANJE,630.24,17.73,26.60,32.02,23.65,70.59
"70351","708046",НЕСАЛЦЕ,NESALCE,БУЈАНОВАЦ,BUJANOVAC,602.06,99999.00,99999.00,99999.00,99999.00,99999.00
"70335","706809",ЗЛИ ДОЛ,ZLI DOL,БОСИЛЕГРАД,BOSILEGRAD,1180.75,11.63,20.16,34.11,34.11,84.29
