MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,ChgCLC_211,ChgCLC_221,ChgCLC_222,ChgCLC_231,ChgCLC_242,ChgCLC_243,ChgCLC_31,ChgCLC_321,ChgCLC_324,ChgCLC_411,Decl/Grow
"71161","742279",БАРБАЦЕ,BARBACE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,1.11,0.00,9.47,-46.37,0.00,35.79,0.00,Population decline
"70963","733695",ГАРЕ,GARE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,-0.25,0.00,-0.39,0.61,0.00,0.03,0.00,No data
"71161","742317",ГОРЊА ТРНИЦА,GORNJA TRNICA,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,0.00,-37.43,95.19,-85.07,27.31,0.00,Population decline
"70351","708143",САМОЉИЦА,SAMOLJICA,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,-36.80,15.15,-2.58,0.00,0.00,24.23,0.00,No data
"71161","742597",ШАЈИНЦЕ,ŠAJINCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,0.00,-0.15,69.55,-140.41,71.01,0.00,Population decline
"70351","707686",БРЊАРЕ,BRNJARE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,-1.25,0.33,0.22,0.00,0.00,0.69,0.00,No data
"70351","708151",СЕБРАТ,SEBRAT,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,3.12,0.00,27.39,-33.58,-15.21,18.29,0.00,No data
"70963","733717",ГОРЊА ШУШАЈА,GORNJA ŠUŠAJA,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.00,0.07,-0.05,-0.01,0.00,0.00,No data
"70963","733733",ДЕПЦЕ,DEPCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,-1.35,-0.01,0.30,1.06,0.00,0.00,0.00,No data
"70351","707627",БИЉАЧА,BILJAČA,БУЈАНОВАЦ,BUJANOVAC,538.02,0.00,0.00,-36.90,-578.48,-5.86,-185.08,-0.41,199.95,8.74,No data
"70351","708178",СПАНЧЕВАЦ,SPANČEVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,-85.85,27.87,59.92,20.58,0.00,-22.51,0.00,No data
"71161","742546",ТРГОВИШТЕ,TRGOVIŠTE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,-57.32,-3.09,164.66,-101.00,-3.24,0.00,Population decline
"70963","733873",РАНАТОВЦЕ,RANATOVCE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,0.03,0.36,-0.39,0.00,0.00,0.00,No data
"70963","733792",МАЂАРЕ,MAĐARE,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,0.00,-0.85,0.15,0.71,0.00,0.00,0.00,No data
"70351","708160",СЕЈАЦЕ,SEJACE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,-44.94,-0.05,47.05,-0.78,-0.46,-0.82,0.00,No data
"70351","707988",ЛУКАРЦЕ,LUKARCE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,0.00,0.00,0.00,2.41,-1.02,-1.39,0.00,No data
"71161","742384",ДУМБИЈА,DUMBIJA,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,0.00,0.15,58.32,39.38,-97.85,0.00,Population decline
"70335","706779",ДОЊЕ ТЛАМИНО,DONJE TLAMINO,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,110.41,128.26,141.68,-53.25,-327.10,0.00,Population decline
"71161","742392",ЂЕРЕКАРЦЕ,ĐEREKARCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,0.00,29.20,5.73,-74.01,39.07,0.00,Population decline
"70351","707945",КУШТИЦА,KUŠTICA,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,0.00,-111.11,98.88,8.17,0.00,4.06,0.00,No data
"70963","733865",РАЈИНЦЕ,RAJINCE,ПРЕШЕВО,PREŠEVO,165.89,0.00,0.00,-55.75,-193.07,-3.61,49.73,-1.78,-51.45,22.89,No data
"70963","733636",БЕРЧЕВАЦ,BERČEVAC,ПРЕШЕВО,PREŠEVO,0.00,0.00,0.00,24.79,0.00,0.00,21.30,-66.48,20.38,0.00,No data
"70351","707783",ДОЊЕ НОВО СЕЛО,DONJE NOVO SELO,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,-126.76,76.28,49.63,1.02,-0.08,-0.09,0.00,No data
"70351","707767",ГРАМАДА,GRAMADA,БУЈАНОВАЦ,BUJANOVAC,0.14,0.00,0.00,0.19,-0.46,0.36,-0.23,0.00,0.00,0.00,No data
"70351","707961",ЛЕТОВИЦА,LETOVICA,БУЈАНОВАЦ,BUJANOVAC,0.56,0.00,0.00,-13.36,-20.42,-0.04,0.61,0.00,0.07,0.00,No data
"71161","742350",ДОЊА ТРНИЦА,DONJA TRNICA,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,-0.00,49.83,183.95,-218.96,-14.81,0.00,Population decline
"71161","742619",ШАПРАНЦЕ,ŠAPRANCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,-36.71,0.00,50.44,98.27,-124.42,12.43,0.00,Population decline
"70351","707929",КОШАРНО,KOŠARNO,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,-0.00,0.00,0.00,0.02,-0.27,0.25,0.00,No data
"70351","707791",ДРЕЖНИЦА,DREŽNICA,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,0.05,0.28,-0.34,0.00,0.00,0.00,0.00,No data
"70351","707856",ЈАСТРЕБАЦ,JASTREBAC,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,-0.36,0.46,0.00,No data
"70335","706825",ЈАРЕШНИК,JAREŠNIK,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,0.00,14.44,-52.51,45.95,-7.89,0.00,Population decline
"70351","708216",ТРЕЈАК,TREJAK,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,0.00,-10.68,10.57,27.53,0.25,-27.68,0.00,No data
"71161","742287",ВЛАДОВЦЕ,VLADOVCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,1.93,0.00,0.17,0.00,0.00,-2.10,0.00,Population decline
"70351","708135",РУСЦЕ,RUSCE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,-1.27,0.00,-3.16,-1.28,0.00,5.71,0.00,No data
"71161","742465",МЕЗДРАЈА,MEZDRAJA,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,2.81,0.00,-0.17,0.00,0.00,-2.64,0.00,Population decline
"70335","706582",БИСТАР,BISTAR,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,30.67,84.60,-35.38,-84.82,4.93,0.00,Population decline
"70351","707708",БУШТРАЊЕ,BUŠTRANJE,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,-13.67,1.48,12.71,-0.18,0.00,-0.34,0.00,No data
"70351","708062",СВЕТА ПЕТКА,SVETA PETKA,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,-0.03,0.04,-0.12,0.36,0.00,-0.24,0.00,No data
"70335","706728",ДОГАНИЦА,DOGANICA,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,0.00,65.39,-19.45,-130.06,84.13,0.00,Population decline
"70351","707732",ВРБАН,VRBAN,БУЈАНОВАЦ,BUJANOVAC,0.18,0.00,0.00,0.03,0.00,0.00,-1.27,0.00,1.06,0.00,No data
"71161","742341",ДЕЈАНЦЕ,DEJANCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,0.00,24.21,73.68,-27.24,-70.65,0.00,Population decline
"70432","712035",РУСЦЕ,RUSCE,ВРАЊЕ,VRANJE,0.00,0.00,0.00,-0.49,-0.06,-0.38,0.46,0.00,0.47,0.00,Population decline
"70351","707651",БОРОВАЦ,BOROVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,-73.41,64.32,-136.75,0.31,0.00,137.88,0.00,No data
"70335","706957",РИКАЧЕВО,RIKAČEVO,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,0.00,158.05,132.66,0.00,-290.71,0.00,Population decline
"71161","742406",ЗЛАДОВЦЕ,ZLADOVCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,0.00,102.89,21.67,-115.17,-9.39,0.00,Population decline
"71161","742457",МАРГАНЦЕ,MARGANCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,0.00,15.12,205.04,-15.94,-204.22,0.00,Population decline
"70351","707635",БОГДАНОВАЦ,BOGDANOVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,-44.83,41.83,3.14,25.23,24.46,-49.83,0.00,No data
"71161","742589",ЦРНОВЦЕ,CRNOVCE,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,0.00,48.30,247.48,-102.14,-193.65,0.00,Population decline
"70432","711276",БУШТРАЊЕ,BUŠTRANJE,ВРАЊЕ,VRANJE,0.44,0.00,0.00,-0.63,-1.15,0.16,1.28,0.00,-0.10,0.00,Population decline
"70351","708046",НЕСАЛЦЕ,NESALCE,БУЈАНОВАЦ,BUJANOVAC,-7.28,0.00,0.00,-0.49,-3.64,-56.55,-279.05,0.00,310.10,0.00,No data
"70335","706809",ЗЛИ ДОЛ,ZLI DOL,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,0.00,98.39,-103.47,2.48,2.60,0.00,Population decline
"70351","707643",БОЖИЊЕВАЦ,BOŽINJEVAC,БУЈАНОВАЦ,BUJANOVAC,-0.57,0.00,0.00,-7.44,32.57,2.74,-0.35,0.00,-46.25,0.00,No data
"70351","707953",ЛЕВОСОЈЕ,LEVOSOJE,БУЈАНОВАЦ,BUJANOVAC,-16.61,0.00,0.00,-47.74,-0.28,-45.62,0.18,0.00,-6.67,0.00,No data
"70432","711462",ДОЊЕ ПУНУШЕВЦЕ,DONJE PUNUŠEVCE,ВРАЊЕ,VRANJE,0.00,0.00,0.00,0.00,0.00,30.63,91.73,-75.22,-47.14,0.00,Population decline
"70432","711624",КОПАЊАНЕ,KOPANJANE,ВРАЊЕ,VRANJE,0.00,0.00,0.00,0.00,-43.46,43.01,20.26,0.01,-19.83,0.00,Population decline
"71161","742376",ДОЊИ СТАЈЕВАЦ,DONJI STAJEVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,-31.21,97.71,147.80,9.13,-223.43,0.00,Population decline
"70432","711268",БУЉЕСОВЦЕ,BULJESOVCE,ВРАЊЕ,VRANJE,0.00,0.00,0.00,0.00,-0.87,0.08,0.79,0.00,0.00,0.00,Population decline
"71161","742333",ГОРЊИ СТАЈЕВАЦ,GORNJI STAJEVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,-32.25,-14.43,61.43,35.80,-76.52,25.97,0.00,Population decline
"70432","711764",МАРГАНЦЕ,MARGANCE,ВРАЊЕ,VRANJE,0.00,0.00,0.00,0.00,0.00,24.65,35.21,0.00,-59.86,0.00,Population decline
"70335","706876",НАЗАРИЦА,NAZARICA,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,0.00,33.08,-8.32,-44.24,19.48,0.00,Population decline
"70351","707899",КЛИНОВАЦ,KLINOVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,0.40,0.69,0.25,-0.44,0.00,-0.91,0.00,No data
"70432","711730",ЛЕПЧИНЦЕ,LEPČINCE,ВРАЊЕ,VRANJE,0.00,0.00,0.00,-1.80,-4.93,-0.54,93.43,-0.25,-85.91,0.00,Population decline
"71161","742295",ГОЛОЧЕВАЦ,GOLOČEVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,0.00,6.25,198.74,-3.06,-201.93,0.00,Population decline
"70335","706612",БРАНКОВЦИ,BRANKOVCI,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.69,0.00,3.11,141.54,-23.36,-121.98,0.00,Population decline
"70432","712264",ЋУРКОВИЦА,ĆURKOVICA,ВРАЊЕ,VRANJE,0.00,0.00,0.00,0.00,0.00,4.68,46.07,-42.42,-8.32,0.00,Population decline
"70351","707821",ЖУЖЕЉИЦА,ŽUŽELJICA,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,-21.21,4.48,17.52,28.77,0.00,-29.56,0.00,No data
"70351","707937",КРШЕВИЦА,KRŠEVICA,БУЈАНОВАЦ,BUJANOVAC,2.83,0.00,0.00,0.00,-5.50,3.64,-0.99,0.00,0.02,0.00,No data
"70432","712191",СУРДУЛ,SURDUL,ВРАЊЕ,VRANJE,0.00,0.00,0.00,0.00,-27.12,14.70,24.44,-60.54,48.52,0.00,Population decline
"71161","742554",ЦРВЕНИ ГРАД,CRVENI GRAD,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,0.00,5.90,-42.77,22.01,14.86,0.00,Population decline
