MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,ChgCLC_211,ChgCLC_221,ChgCLC_222,ChgCLC_231,ChgCLC_242,ChgCLC_243,ChgCLC_31,ChgCLC_321,ChgCLC_324,ChgCLC_411,Decl/Grow
"70424","710962",КУКАВИЦА,KUKAVICA,ВЛАСОТИНЦЕ,VLASOTINCE,39.57,0.25,0.00,0.00,-72.99,0.00,0.00,0.00,0.00,0.00,Population decline
"80217","802263",ПАДИНА,PADINA,КОВАЧИЦА,KOVAČICA,339.87,0.00,0.00,28.04,-307.22,-36.69,0.00,0.00,-26.40,0.00,Population decline
"80349","803464",ХАЈДУЧИЦА,HAJDUČICA,ПЛАНДИШТЕ,PLANDIŠTE,774.78,0.00,0.00,117.48,-618.66,0.00,2.41,-240.86,-36.53,0.00,Population decline
"80152","801658",ПЕРЛЕЗ,PERLEZ,ЗРЕЊАНИН,ZRENJANIN,23.12,0.00,0.00,-25.54,-26.12,0.00,-24.22,-1.15,-8.51,61.77,Population decline
"70726","724793",ПАДЕЖ,PADEŽ,ЛЕСКОВАЦ,LESKOVAC,0.00,0.00,0.00,0.00,0.00,16.30,-16.30,0.00,0.00,0.00,Population decline
"71072","739154",БАГАЧИЋЕ,BAGAČIĆE,СЈЕНИЦА,SJENICA,218.58,0.00,0.00,-39.29,-180.64,25.24,7.07,1.31,-32.24,0.00,Population decline
"70939","732591",ПОКРЕВЕНИК,POKREVENIK,ПИРОТ,PIROT,0.00,0.00,0.00,-0.00,-25.66,68.57,99.15,-67.46,-80.01,0.00,Population decline
"71072","740055",СУШИЦА,SUŠICA,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,41.14,165.68,15.51,-1.62,-220.71,0.00,0.00,Population decline
"70084","703087",ГОРЊА ГЛАМА,GORNJA GLAMA,БЕЛА ПАЛАНКА,BELA PALANKA,0.00,0.00,0.00,34.08,-0.10,0.00,1.59,-99.57,64.00,0.00,Population decline
"71048","738182",КОЧИНО СЕЛО,KOČINO SELO,ЈАГОДИНА,JAGODINA,22.09,0.00,0.00,0.00,-70.34,62.64,-87.66,0.00,47.25,0.12,Population decline
"70483","713368",ДОЊА ЦРНУЋА,DONJA CRNUĆA,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,0.00,0.00,0.00,-1.38,28.85,-7.53,-19.94,0.00,0.00,0.00,Population decline
"70483","713520",ЛОЧЕВЦИ,LOČEVCI,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,0.00,0.00,-17.75,0.00,17.57,-4.64,4.82,0.00,0.00,0.00,Population decline
"70602","717401",ГОРЊЕ ЗУНИЧЕ,GORNJE ZUNIČE,КЊАЖЕВАЦ,KNJAŽEVAC,0.00,0.00,0.00,0.00,52.04,-60.12,169.01,0.00,-189.15,0.00,Population decline
"70386","709468",СТАРО СЕЛО,STARO SELO,ВЕЛИКА ПЛАНА,VELIKA PLANA,64.45,0.00,0.00,0.00,-125.59,-103.11,52.69,0.00,-52.79,0.00,Population decline
"70033","701491",ГАРАШИ,GARAŠI,АРАНЂЕЛОВАЦ,ARANĐELOVAC,3.63,0.00,0.00,-138.65,48.79,55.21,31.55,0.00,0.00,0.00,Population decline
"70998","735515",ВОДИЦЕ,VODICE,ПРОКУПЉЕ,PROKUPLJE,-119.50,0.00,0.00,0.00,-41.43,130.30,13.43,0.00,17.20,0.00,Population decline
"70874","730645",ОСАОНИЦА,OSAONICA,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,14.78,-34.35,-5.02,4.49,0.00,20.10,0.00,Population growth
"70998","735493",ВИЧА,VIČA,ПРОКУПЉЕ,PROKUPLJE,-14.64,0.00,0.00,0.00,18.92,-22.16,40.50,0.00,-22.63,0.00,Population decline
"70017","700177",ГОРЊЕ РАТАЈЕ,GORNJE RATAJE,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,152.10,1.79,20.82,0.00,-174.05,-39.44,2.73,0.00,0.00,0.00,Population decline
"70670","721409",ПОЗЛАТА,POZLATA,КРУШЕВАЦ,KRUŠEVAC,94.25,0.00,0.00,0.00,-101.55,6.94,0.36,0.00,0.00,0.00,Population decline
"70599","716774",БАРЕ,BARE,КНИЋ,KNIĆ,151.53,0.00,0.00,0.00,-138.33,-13.41,-16.32,0.00,16.52,0.00,Population decline
"70866","729671",БИСТРИЦА,BISTRICA,НОВА ВАРОШ,NOVA VAROŠ,0.00,0.00,0.00,0.00,4.65,-23.07,249.50,-43.90,-159.76,0.00,Population decline
"70688","722375",ПЕПЕЉЕВАЦ,PEPELJEVAC,КУРШУМЛИЈА,KURŠUMLIJA,0.00,0.00,0.00,0.00,-0.35,-0.22,0.15,0.00,0.42,0.00,Population decline
"70670","720933",ЂУНИС,ĐUNIS,КРУШЕВАЦ,KRUŠEVAC,120.35,0.00,0.00,0.00,-64.59,-139.76,-0.43,0.00,83.33,0.00,Population decline
"71030","737607",ВЕЛИКА КРУШЕВИЦА,VELIKA KRUŠEVICA,РЕКОВАЦ,REKOVAC,-7.11,0.00,0.00,0.00,-36.28,97.40,0.01,0.00,0.00,0.00,Population decline
"71242","745685",ЈЕЗДИНА,JEZDINA,ЧАЧАК,ČAČAK,0.00,0.00,0.00,0.00,0.64,-0.50,-0.14,0.00,0.00,0.00,Population decline
"70017","700444",ПОПОВЦИ,POPOVCI,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.00,0.00,0.00,0.00,-0.30,-6.24,-0.03,0.00,6.54,0.00,Population decline
"70017","700231",ДОЊА ЗЛЕГИЊА,DONJA ZLEGINJA,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,75.94,0.00,0.00,0.00,-20.11,-56.09,0.28,0.00,0.00,0.00,Population decline
"70866","729957",ТИСОВИЦА,TISOVICA,НОВА ВАРОШ,NOVA VAROŠ,0.00,0.00,0.00,43.73,1.24,-14.63,-66.17,-24.54,60.37,0.00,Population decline
"70360","709093",ТУБРАВИЋ,TUBRAVIĆ,ВАЉЕВО,VALJEVO,0.00,0.00,0.00,21.81,-170.84,26.09,33.89,0.00,0.00,0.00,Population decline
"70360","708593",ЖАБАРИ,ŽABARI,ВАЉЕВО,VALJEVO,0.00,0.00,-24.04,-0.00,23.18,0.75,0.11,0.00,0.00,0.00,Population decline
"70629","718157",ГОДЉЕВО,GODLJEVO,КОСЈЕРИЋ,KOSJERIĆ,0.00,0.00,0.00,0.00,-197.08,180.93,16.17,0.00,0.00,0.00,Population decline
"71188","743232",БАЋИЦА,BAĆICA,ТУТИН,TUTIN,0.00,0.00,0.00,-147.59,170.62,35.24,11.10,-86.14,16.77,0.00,Population growth
"71064","738760",ВЛАХОВО,VLAHOVO,СВРЉИГ,SVRLJIG,27.78,0.00,0.00,-8.40,-19.30,-0.19,33.90,0.16,-33.95,0.00,Population decline
"70025","701025",КАМЕНИЦА,KAMENICA,АЛЕКСИНАЦ,ALEKSINAC,73.49,-2.22,0.00,0.00,-71.99,-15.59,-0.22,0.00,16.53,0.00,Population decline
"70670","721425",РИБАРЕ,RIBARE,КРУШЕВАЦ,KRUŠEVAC,-5.44,0.00,0.00,14.17,-72.66,-23.07,-1.11,0.00,43.74,0.00,Population decline
"70980","734497",ГОРЊЕ БАБИНЕ,GORNJE BABINE,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,0.00,0.00,381.72,-282.65,-6.38,111.02,-209.08,5.37,0.00,Population decline
"70971","734179",КРЊАЧА,KRNJAČA,ПРИБОЈ,PRIBOJ,0.00,0.00,0.00,39.24,0.00,198.74,58.79,-180.50,-116.26,0.00,Population decline
"70459","712400",ЛИПОВА,LIPOVA,ВРЊАЧКА БАЊА,VRNJAČKA BANJA,0.00,0.00,0.00,0.00,0.47,0.18,-0.68,0.00,0.00,0.00,Population decline
"70670","720615",БИВОЉЕ,BIVOLJE,КРУШЕВАЦ,KRUŠEVAC,411.76,0.00,0.00,30.72,-281.72,-223.30,0.00,0.00,45.59,12.89,Population decline
"71129","740985",ТРГОВИШТЕ,TRGOVIŠTE,СОКОБАЊА,SOKOBANJA,9.80,0.00,0.00,-25.01,15.42,-0.21,0.00,0.00,0.00,0.00,Population decline
"70840","728829",ТАМНИЧ,TAMNIČ,НЕГОТИН,NEGOTIN,67.18,0.00,0.00,10.10,-271.00,-174.27,-17.52,0.20,451.59,0.00,Population decline
"70840","728799",СМЕДОВАЦ,SMEDOVAC,НЕГОТИН,NEGOTIN,0.00,-46.37,0.00,31.39,-55.61,0.00,1.28,0.16,69.15,0.00,Population decline
"71170","743097",РУЈИШНИК,RUJIŠNIK,ТРСТЕНИК,TRSTENIK,0.00,0.00,0.00,0.00,80.72,-66.83,0.16,0.00,0.00,0.00,Population decline
"70653","719340",БОГУТОВАЦ,BOGUTOVAC,КРАЉЕВО,KRALJEVO,0.00,0.00,0.00,-0.00,-36.54,-162.72,186.09,-93.99,353.70,0.00,Population growth
"70670","721018",КАМЕНАРЕ,KAMENARE,КРУШЕВАЦ,KRUŠEVAC,39.70,0.00,0.00,0.00,-40.03,0.30,0.04,0.00,0.00,0.00,Population decline
"71153","742074",ЈЕЛЕНАЦ,JELENAC,ТОПОЛА,TOPOLA,48.07,0.00,0.00,0.00,-69.10,21.03,0.00,0.00,0.00,0.00,Population decline
"71188","743283",БОРОШТИЦА,BOROŠTICA,ТУТИН,TUTIN,0.00,0.00,0.00,-471.03,612.65,0.00,0.00,-141.51,-0.16,0.04,Population growth
"70874","730530",ЛУКАРСКО ГОШЕВО,LUKARSKO GOŠEVO,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,4.66,-85.55,96.85,-13.79,0.00,-2.17,0.00,Population growth
"70700","723070",ПЕПЕЉЕВАЦ,PEPELJEVAC,ЛАЈКОВАЦ,LAJKOVAC,158.26,0.00,0.00,-43.72,-106.26,-91.79,-14.97,0.00,24.48,0.00,Population decline
"70033","701521",КОПЉАРЕ,KOPLJARE,АРАНЂЕЛОВАЦ,ARANĐELOVAC,193.47,19.32,0.00,0.00,-183.12,-22.85,-6.82,0.00,0.00,0.00,Population decline
"70050","702137",ИЗВОР,IZVOR,БАБУШНИЦА,BABUŠNICA,13.67,0.00,0.00,0.00,-19.20,0.08,7.87,0.03,4.83,0.00,Population decline
"70076","702854",БРЗАН,BRZAN,БАТОЧИНА,BATOČINA,16.35,0.00,0.00,0.00,-195.11,173.62,-11.39,0.00,5.13,15.55,Population decline
"70629","718220",МАКОВИШТЕ,MAKOVIŠTE,КОСЈЕРИЋ,KOSJERIĆ,0.00,0.00,0.00,0.06,-0.61,-1.47,26.50,0.00,-24.48,0.00,Population decline
"70777","726559",ГРЧИЋ,GRČIĆ,ЉУБОВИЈА,LJUBOVIJA,0.00,0.00,0.00,-113.29,40.02,-0.21,64.01,0.00,9.47,0.00,Population decline
"70939","732320",ИЗВОР,IZVOR,ПИРОТ,PIROT,-1.28,0.00,0.00,0.00,-24.62,-54.40,-4.64,0.79,59.41,0.00,Population decline
"71072","739855",МЕЂУГОР,MEĐUGOR,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,29.16,54.47,0.00,138.67,-202.11,-20.19,0.00,Population decline
"70998","735302",БАЛЧАК,BALČAK,ПРОКУПЉЕ,PROKUPLJE,0.00,0.00,0.00,0.00,0.00,-27.35,17.71,7.98,1.66,0.00,Population decline
"70378","709131",ВАРВАРИН,VARVARIN,ВАРВАРИН,VARVARIN,-9.35,0.00,0.00,0.00,58.53,-49.39,0.00,0.00,0.00,0.00,Population decline
"71170","742759",ГОРЊИ ДУБИЧ,GORNJI DUBIČ,ТРСТЕНИК,TRSTENIK,0.00,0.00,0.00,0.14,-0.34,-15.55,0.77,0.00,14.98,0.00,Population decline
"70688","722111",КУРШУМЛИЈСКА БАЊА,KURŠUMLIJSKA BANJA,КУРШУМЛИЈА,KURŠUMLIJA,0.00,0.00,0.00,0.00,0.16,-0.01,-0.23,0.00,0.07,0.00,Population decline
"70998","735248",АРБАНАШКА,ARBANAŠKA,ПРОКУПЉЕ,PROKUPLJE,0.00,0.00,0.00,24.23,-56.84,-69.19,-9.14,0.28,110.68,0.00,Population decline
"70840","728748",РОГЉЕВО,ROGLJEVO,НЕГОТИН,NEGOTIN,-0.50,0.00,0.00,0.00,-48.50,0.08,-0.25,0.09,81.56,0.00,Population decline
"70483","713341",ДАВИДОВИЦА,DAVIDOVICA,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,0.00,0.00,0.00,124.88,-123.17,-27.35,25.64,0.00,0.00,0.00,Population decline
"70483","713201",БРЕЗОВИЦА,BREZOVICA,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,0.00,0.00,0.00,0.00,-0.00,-4.36,4.36,0.00,0.00,0.00,Population decline
"70360","709085",ТАОР,TAOR,ВАЉЕВО,VALJEVO,0.00,0.00,0.00,99.50,-73.92,-45.58,92.73,0.00,-72.73,0.00,Population decline
"71056","738484",БРЕСЈЕ,BRESJE,СВИЛАЈНАЦ,SVILAJNAC,-34.78,0.00,0.00,0.00,-48.51,2.72,42.89,0.00,37.86,0.00,Population decline
"70653","720291",ЧИБУКОВАЦ,ČIBUKOVAC,КРАЉЕВО,KRALJEVO,-71.29,0.00,0.00,-24.96,3.45,35.98,0.00,0.00,25.10,0.00,Population growth
"70653","720194",СТУБАЛ,STUBAL,КРАЉЕВО,KRALJEVO,130.96,0.00,0.00,0.00,-132.96,-120.74,1.49,0.00,121.75,0.00,Population growth
"70696","722863",РАБРОВО,RABROVO,КУЧЕВО,KUČEVO,-91.66,0.00,0.00,-36.98,-85.63,154.02,6.23,0.00,56.69,0.00,Population decline
"70394","709638",МАКЦЕ,MAKCE,ВЕЛИКО ГРАДИШТЕ,VELIKO GRADIŠTE,-25.92,0.00,0.00,35.29,-43.95,21.77,22.37,0.00,-0.32,0.00,Population decline
"70360","708887",ПЕТНИЦА,PETNICA,ВАЉЕВО,VALJEVO,0.00,0.00,0.00,0.00,-2.23,-0.65,-0.23,0.00,0.00,0.00,Population decline
"70238","704962",ДУЧИНА,DUČINA,СОПОТ,SOPOT,98.67,0.00,40.69,0.47,-146.15,-6.91,13.23,0.00,0.00,0.00,Population decline
"70637","718432",ГОЛОЧЕЛО,GOLOČELO,КОЦЕЉЕВА,KOCELJEVA,0.00,0.00,0.00,-149.99,141.84,-0.89,9.05,0.00,0.00,0.00,Population decline
"70386","709409",ЛОЗОВИК,LOZOVIK,ВЕЛИКА ПЛАНА,VELIKA PLANA,187.64,-193.92,0.00,0.00,-30.65,37.02,66.17,0.00,-133.93,0.00,Population decline
"70696","722766",КАОНА,KAONA,КУЧЕВО,KUČEVO,0.00,0.00,0.00,-28.33,128.83,-15.73,11.38,-13.56,29.23,0.00,Population decline
"70807","727245",ЦРЉЕНАЦ,CRLJENAC,МАЛО ЦРНИЋЕ,MALO CRNIĆE,163.50,0.00,0.00,0.00,-179.07,-25.26,38.72,0.00,1.03,0.00,Population decline
"70637","718505",КАМЕНИЦА,KAMENICA,КОЦЕЉЕВА,KOCELJEVA,-26.02,0.00,0.00,-133.70,189.90,-50.27,20.10,0.00,0.00,0.00,Population decline
"71218","744638",КАЛЕНИЋ,KALENIĆ,УБ,UB,-15.84,0.00,0.00,-0.01,-467.01,62.76,-65.70,0.00,124.71,0.00,Population decline
"70939","732265",ГРАДАШНИЦА,GRADAŠNICA,ПИРОТ,PIROT,0.00,0.00,0.00,0.00,-2.81,-50.89,-0.00,0.50,51.34,0.00,Population decline
"70939","732478",НИШОР,NIŠOR,ПИРОТ,PIROT,0.00,0.00,0.00,71.55,-444.19,153.44,140.97,-105.04,117.81,0.00,Population decline
"70874","729990",АЛУЛОВИЋЕ,ALULOVIĆE,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,0.00,-15.51,-2.01,20.13,0.00,-2.61,0.00,Population growth
"70777","726567",ДОЊА ЉУБОВИЂА,DONJA LJUBOVIĐA,ЉУБОВИЈА,LJUBOVIJA,28.55,0.00,0.00,0.00,189.16,-247.70,29.99,0.00,0.00,0.00,Population decline
"70912","731757",ВЕЛИКО ЛАОЛЕ,VELIKO LAOLE,ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,5.56,0.00,0.00,0.00,-133.88,135.44,-84.17,0.00,77.04,0.00,Population decline
"70793","726958",ВЕЛИКА РЕКА,VELIKA REKA,МАЛИ ЗВОРНИК,MALI ZVORNIK,-9.99,0.00,0.00,0.00,12.52,-1.48,32.93,0.00,-33.69,0.00,Population decline
"70084","703109",ГОРЊИ РИЊ,GORNJI RINJ,БЕЛА ПАЛАНКА,BELA PALANKA,0.00,0.00,0.00,131.17,0.00,-57.05,6.25,-81.56,1.19,0.00,Population decline
"70190","704563",БАРИЧ,BARIČ,ОБРЕНОВАЦ,OBRENOVAC,118.60,0.00,0.00,17.51,-283.16,-17.59,16.67,-28.47,0.89,0.00,Population decline
"70394","709565",КАМИЈЕВО,KAMIJEVO,ВЕЛИКО ГРАДИШТЕ,VELIKO GRADIŠTE,-19.11,0.00,0.00,0.00,5.03,4.67,10.19,0.00,0.73,0.00,Population decline
"70190","704792",РВАТИ,RVATI,ОБРЕНОВАЦ,OBRENOVAC,0.00,0.00,0.00,0.00,-28.34,18.67,0.00,0.00,0.00,0.00,Population decline
"70807","727202",САЛАКОВАЦ,SALAKOVAC,МАЛО ЦРНИЋЕ,MALO CRNIĆE,151.05,0.00,0.00,-36.74,-59.84,-133.96,-2.15,0.00,45.08,0.00,Population decline
"70408","709778",БЕЛОТИЋ,BELOTIĆ,ВЛАДИМИРЦИ,VLADIMIRCI,247.14,0.00,0.00,0.00,-272.56,13.74,11.67,0.00,0.00,0.00,Population decline
"70548","715239",ГЛАШИНЦЕ,GLAŠINCE,ЖИТОРАЂА,ŽITORAĐA,-122.38,0.57,0.00,0.00,133.35,1.18,0.00,0.00,-12.77,0.00,Population decline
"70980","735027",ОШТРА СТИЈЕНА,OŠTRA STIJENA,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,0.00,0.00,0.00,-0.08,-0.03,9.08,0.00,-8.97,0.00,Population decline
"70688","722553",СЕОЦЕ,SEOCE,КУРШУМЛИЈА,KURŠUMLIJA,0.00,0.00,0.00,7.50,0.00,-8.88,26.34,39.37,-64.49,0.00,Population decline
"70530","715131",РИБАРЕ,RIBARE,ЖАГУБИЦА,ŽAGUBICA,0.00,0.00,0.00,-41.38,7.39,74.19,32.31,-11.42,-61.09,0.00,Population decline
"70912","731773",ВОШАНОВАЦ,VOŠANOVAC,ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,-0.52,0.00,0.00,0.00,-64.76,-112.14,17.17,0.00,160.25,0.00,Population decline
"70033","701459",БУКОВИК,BUKOVIK,АРАНЂЕЛОВАЦ,ARANĐELOVAC,0.00,0.00,0.00,0.00,-67.32,-120.35,129.27,0.00,0.00,0.00,Population decline
"71323","727962",КРУШЦЕ,KRUŠCE,ПАЛИЛУЛА (НИШ),PALILULA (NIŠ),8.51,-3.83,0.00,0.00,-125.39,71.90,0.00,0.00,3.43,0.00,Population growth
"70475","713007",КРИВАЧА,KRIVAČA,ГОЛУБАЦ,GOLUBAC,0.00,0.00,0.00,81.11,180.30,4.01,0.89,-234.66,-31.65,0.00,Population decline
"70980","734420",БРВИНЕ,BRVINE,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,0.00,0.00,0.00,-0.14,0.26,25.19,3.05,-28.37,0.00,Population decline
"70653","719480",ГЛЕДИЋ,GLEDIĆ,КРАЉЕВО,KRALJEVO,0.00,0.00,0.00,19.47,-62.56,45.90,-12.42,-0.22,9.83,0.00,Population growth
"70343","707384",КРИВА РЕКА,KRIVA REKA,БРУС,BRUS,0.00,0.00,0.00,67.67,-54.45,25.26,-178.91,91.30,106.46,0.00,Population decline
"71064","738816",ГУШЕВАЦ,GUŠEVAC,СВРЉИГ,SVRLJIG,93.04,0.00,0.00,-31.60,-87.58,-4.34,3.38,0.00,0.00,0.00,Population decline
"70017","700223",ДОБРОЉУПЦИ,DOBROLJUPCI,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,25.61,0.00,0.00,0.00,-25.91,-0.09,31.11,0.00,-30.72,0.00,Population decline
"71315","729523",РУЈНИК,RUJNIK,ЦРВЕНИ КРСТ,CRVENI KRST,94.77,0.00,0.00,-4.34,-299.93,179.00,0.98,0.00,-1.13,0.00,Population growth
"80233","802441",ЛИПАР,LIPAR,КУЛА,KULA,-34.07,0.00,0.00,0.00,-75.24,0.00,26.78,0.00,46.12,0.00,Population decline
"80110","800996",БАЧКО ПЕТРОВО СЕЛО,BAČKO PETROVO SELO,БЕЧЕЈ,BEČEJ,353.21,0.00,0.00,-0.07,-451.85,-58.86,93.48,0.00,-259.00,298.74,Population decline
"70653","719889",МИЛИЋЕ,MILIĆE,КРАЉЕВО,KRALJEVO,0.00,0.00,0.00,3.72,0.00,39.05,6.46,-76.10,26.87,0.00,Population growth
"70602","717843",ПРИЧЕВАЦ,PRIČEVAC,КЊАЖЕВАЦ,KNJAŽEVAC,0.00,0.00,0.00,0.00,-13.09,-139.95,55.82,-33.13,130.35,0.00,Population decline
"70866","729973",ЧЕЛИЦЕ,ČELICE,НОВА ВАРОШ,NOVA VAROŠ,0.00,0.00,0.00,0.00,0.00,-72.44,164.05,-16.04,-51.53,0.00,Population decline
"71064","739073",РАДМИРОВАЦ,RADMIROVAC,СВРЉИГ,SVRLJIG,0.00,0.00,0.00,-37.14,-0.05,-16.60,28.45,0.91,24.42,0.00,Population decline
"70939","732192",ВЛАСИ,VLASI,ПИРОТ,PIROT,0.00,0.00,0.00,0.00,-63.47,43.75,-2.38,-0.08,21.20,0.00,Population decline
"70564","716154",ИВАЊИЦА,IVANJICA,ИВАЊИЦА,IVANJICA,0.00,0.00,0.00,0.00,-2.05,13.33,-1.50,0.00,0.00,0.00,Population decline
"70971","734233",ПРИБОЈ,PRIBOJ,ПРИБОЈ,PRIBOJ,0.00,0.00,0.00,-2.57,0.00,10.52,-56.62,0.00,50.35,0.00,Population decline
"70874","730459",КОЖЉЕ,KOŽLJE,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,25.67,-122.76,49.15,12.98,0.00,34.95,0.00,Population growth
"70726","723649",БЕЛАНОВЦЕ,BELANOVCE,ЛЕСКОВАЦ,LESKOVAC,-242.76,50.25,0.00,0.00,166.96,5.12,-5.58,0.00,0.00,0.00,Population decline
"71188","744204",ШИПЧЕ,ŠIPČE,ТУТИН,TUTIN,0.00,0.00,0.00,117.88,0.00,0.00,0.03,-117.92,0.00,0.00,Population growth
"70726","723878",ВИНАРЦЕ,VINARCE,ЛЕСКОВАЦ,LESKOVAC,167.01,60.84,-21.17,0.00,-198.57,0.86,16.27,0.00,-37.54,0.00,Population decline
"70874","731030",ЧАШИЋ ДОЛАЦ,ČAŠIĆ DOLAC,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,0.00,0.30,0.28,-0.63,0.00,0.06,0.00,No population
"71188","744140",ЦРКВИНЕ,CRKVINE,ТУТИН,TUTIN,0.00,0.00,0.00,0.00,0.13,2.10,-2.23,0.00,0.00,0.00,Population growth
"71188","743674",ЈАРЕБИЦЕ,JAREBICE,ТУТИН,TUTIN,0.00,0.00,0.00,219.85,0.00,83.98,0.34,-304.18,0.00,0.00,Population growth
"70424","711152",ЦРНАТОВО,CRNATOVO,ВЛАСОТИНЦЕ,VLASOTINCE,0.00,0.00,0.00,-0.17,-0.51,0.31,0.38,0.00,0.00,0.00,Population decline
"70050","701955",ВАЛНИШ,VALNIŠ,БАБУШНИЦА,BABUŠNICA,0.00,0.00,0.00,0.00,-93.51,-4.70,1.22,0.00,96.99,0.00,Population decline
"71188","743640",ИЗРОК,IZROK,ТУТИН,TUTIN,0.00,0.00,0.00,0.00,0.54,-0.13,-0.41,0.00,0.00,0.00,Population growth
"70955","733431",ПИЛАТОВИЋИ,PILATOVIĆI,ПОЖЕГА,POŽEGA,254.04,0.00,0.00,0.00,-330.68,76.11,0.53,0.00,0.00,0.00,Population decline
"71145","741523",ВРУТЦИ,VRUTCI,УЖИЦЕ,UŽICE,0.00,0.00,0.00,-147.33,51.28,95.14,40.73,0.83,0.00,0.00,Population decline
"71188","744115",ТОЧИЛОВО,TOČILOVO,ТУТИН,TUTIN,0.00,0.00,0.00,-243.67,138.74,-7.99,0.66,23.56,88.70,0.00,Population growth
"71072","739146",АЛИВЕРОВИЋЕ,ALIVEROVIĆE,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,105.63,0.08,0.00,48.54,-110.40,-43.85,0.00,Population decline
"70548","715247",ГОРЊЕ ЦРНАТОВО,GORNJE CRNATOVO,ЖИТОРАЂА,ŽITORAĐA,58.11,0.00,0.00,0.00,-35.78,-21.85,-3.08,0.00,2.59,0.00,Population decline
"70548","715492",ТОПОНИЦА,TOPONICA,ЖИТОРАЂА,ŽITORAĐA,-214.96,0.00,0.00,-29.45,-25.66,73.86,36.23,0.00,159.97,0.00,Population decline
"71021","736970",БОЋЕ,BOĆE,РАШКА,RAŠKA,0.00,0.00,0.00,-41.51,-0.47,-69.43,-7.87,133.52,42.66,0.00,Population decline
"70653","720119",РОЋЕВИЋИ,ROĆEVIĆI,КРАЉЕВО,KRALJEVO,0.00,0.00,0.00,0.00,-0.08,0.17,-0.09,0.00,0.00,0.00,Population growth
"70394","709522",ДОЉАШНИЦА,DOLJAŠNICA,ВЕЛИКО ГРАДИШТЕ,VELIKO GRADIŠTE,35.53,0.00,0.00,72.00,-233.75,36.89,77.83,0.00,11.50,0.00,Population decline
"70092","703508",БАЋЕВАЦ,BAĆEVAC,БАРАЈЕВО,BARAJEVO,-67.88,0.00,0.00,-3.55,-25.02,47.91,-7.75,0.00,0.00,0.00,Population growth
"70335","706795",ЖЕРАВИНО,ŽERAVINO,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,20.97,0.00,78.16,126.84,-54.36,-204.34,0.00,Population decline
"70190","704636",ДРАЖЕВАЦ,DRAŽEVAC,ОБРЕНОВАЦ,OBRENOVAC,450.21,0.00,0.00,0.00,-496.88,-0.71,39.43,0.00,-39.07,0.00,Population decline
"71269","746355",МЕТЛИЋ,METLIĆ,ШАБАЦ,ŠABAC,318.63,0.00,0.00,0.00,-217.79,-33.69,-28.16,0.00,-0.06,0.00,Population decline
"71188","743950",ПОТРЕБ,POTREB,ТУТИН,TUTIN,0.00,0.00,0.00,-193.06,191.83,-3.57,4.80,0.00,0.00,0.00,Population growth
"70874","730513",ЛОПУЖЊЕ,LOPUŽNJE,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,-0.07,0.00,42.97,-43.95,0.00,0.02,0.00,Population growth
"70726","724467",КАШТАВАР,KAŠTAVAR,ЛЕСКОВАЦ,LESKOVAC,8.70,0.00,0.00,0.96,-10.27,-18.30,-0.83,0.00,19.74,0.00,Population decline
"70874","730173",ВУЧИНИЋЕ,VUČINIĆE,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,117.98,-58.30,-52.03,-65.04,10.41,46.98,0.00,Population growth
"70688","721824",ГОРЊЕ ТОЧАНЕ,GORNJE TOČANE,КУРШУМЛИЈА,KURŠUMLIJA,0.00,0.00,0.00,0.00,0.00,-31.04,0.02,0.00,31.02,0.00,Population decline
"70360","708488",ГОРЊА БУКОВИЦА,GORNJA BUKOVICA,ВАЉЕВО,VALJEVO,252.45,0.00,0.00,-235.86,-58.17,30.80,10.79,0.00,0.00,0.00,Population decline
"70521","714879",ЖАБАРИ,ŽABARI,ЖАБАРИ,ŽABARI,188.78,-88.42,-25.12,0.00,-89.93,-52.41,134.52,0.00,-59.76,-27.87,Population decline
